YearMonthDayHourMinute,STN,isitu-LST,insitu-TA
202107010030,90,21.72176,21.226954
202107010030,93,21.01493,20.577835
202107010030,95,20.235031,19.349743
202107010030,98,20.58834,19.591331
202107010030,99,20.889606,19.988848
202107010030,100,17.540173,16.158339
202107010030,101,21.449646,21.918102
202107010030,102,19.782434,18.037588
202107010030,104,20.12561,19.63785
202107010030,105,22.190659,21.668234
202107010030,106,21.468948,20.62083
202107010030,108,22.550861,23.212425
202107010030,112,21.404179,22.260578
202107010030,114,20.48925,20.059399
202107010030,115,20.283804,20.272715
202107010030,119,20.987818,21.507097
202107010030,121,19.904394,19.853958
202107010030,127,21.160248,20.21365
202107010030,129,20.588129,20.661772
202107010030,130,20.586891,20.735804
202107010030,131,22.503336,23.37544
202107010030,133,22.87588,22.720594
202107010030,135,20.601902,19.738516
202107010030,136,20.05619,19.561152
202107010030,137,21.560719,22.426197
202107010030,138,21.327597,21.87049
202107010030,140,22.944767,22.850931
202107010030,143,21.634636,21.220146
202107010030,146,23.572914,23.809258
202107010030,152,20.750635,20.175602
202107010030,155,20.101791,19.944044
202107010030,156,22.434912,22.737064
202107010030,159,21.67862,21.672993
202107010030,162,21.602573,21.981113
202107010030,165,22.117638,22.998535
202107010030,168,22.288284,23.084112
202107010030,169,21.04555,21.937284
202107010030,170,20.678772,21.089617
202107010030,172,21.960983,21.705101
202107010030,174,18.716133,19.039436
202107010030,177,21.60838,21.747131
202107010030,184,24.879005,23.632595
202107010030,185,22.555737,23.175524
202107010030,188,23.112709,22.867258
202107010030,189,23.600216,23.706556
202107010030,192,19.21558,19.555174
202107010030,201,20.835922,20.184256
202107010030,202,21.275482,20.99473
202107010030,203,20.218616,20.44972
202107010030,211,20.637981,20.314274
202107010030,212,20.189201,19.623755
202107010030,216,17.68741,17.461025
202107010030,217,20.075958,19.46848
202107010030,221,20.724747,19.82501
202107010030,226,20.941824,20.107365
202107010030,232,21.627142,20.794044
202107010030,235,21.026285,21.53662
202107010030,236,22.104048,22.039564
202107010030,238,20.175331,21.212555
202107010030,239,22.609886,22.818079
202107010030,243,23.681225,23.60977
202107010030,244,21.906658,20.611057
202107010030,245,22.57418,21.945415
202107010030,247,21.813309,21.249485
202107010030,248,20.051014,19.050926
202107010030,251,22.15696,22.027737
202107010030,252,23.191116,21.503508
202107010030,253,20.75364,20.672333
202107010030,254,22.520084,21.731754
202107010030,255,20.607216,21.220625
202107010030,257,22.853748,22.157974
202107010030,258,20.587101,20.67891
202107010030,259,19.964487,20.4374
202107010030,260,18.246704,19.451345
202107010030,261,20.18803,19.505545
202107010030,262,19.184383,18.691973
202107010030,263,20.80642,20.718609
202107010030,264,21.216248,20.542784
202107010030,266,20.607468,21.407776
202107010030,271,19.557941,17.768581
202107010030,272,21.691208,20.59996
202107010030,273,20.664295,21.380356
202107010030,276,17.748491,17.340542
202107010030,277,20.070667,19.023165
202107010030,278,19.779247,19.382957
202107010030,279,21.097225,21.545118
202107010030,281,19.722157,19.533188
202107010030,283,18.43378,19.211311
202107010030,284,21.19863,20.814207
202107010030,285,21.088367,21.58115
202107010030,288,19.932766,21.217943
202107010030,289,20.921326,21.199373
202107010030,294,21.186274,21.880241
202107010030,295,20.34629,20.068865
202107010030,676,20.47907,20.383955
202107010030,702,23.136333,23.410095
202107010030,970,19.885971,19.63052
202107010030,972,20.649536,19.532747
202107010030,973,20.901676,20.337143
202107010030,974,16.86092,18.996576
202107010030,977,21.923302,21.820694
202107010030,978,20.552692,20.462095
202107010030,980,22.31454,21.595303
202107010130,90,21.33697,20.820515
202107010130,93,20.516663,20.141972
202107010130,95,19.400276,19.312336
202107010130,98,20.41792,19.538664
202107010130,99,20.262821,19.947691
