YearMonthDayHourMinute,STN,isitu-LST,insitu-TA
202107010030,90,18.02523,20.900202
202107010030,93,22.623896,20.60835
202107010030,95,20.132345,19.146776
202107010030,98,31.721436,19.737118
202107010030,99,23.330822,20.216476
202107010030,100,23.258991,15.882836
202107010030,101,23.674555,21.884388
202107010030,102,19.890358,18.406061
202107010030,104,20.6108,19.710495
202107010030,105,22.524565,21.3394
202107010030,106,20.33796,20.45454
202107010030,108,22.721493,23.342834
202107010030,112,27.852375,22.602081
202107010030,114,20.760757,20.0293
202107010030,115,19.922268,19.764917
202107010030,119,22.73784,21.591368
202107010030,121,20.069197,19.664902
202107010030,127,24.04827,19.986214
202107010030,129,21.562002,20.358534
202107010030,130,8.216432,20.46684
202107010030,131,23.545681,23.550611
202107010030,133,21.427391,22.619694
202107010030,135,21.860836,19.583158
202107010030,136,19.559082,19.464579
202107010030,137,22.41751,22.205416
202107010030,138,28.327368,21.79668
202107010030,140,19.600588,22.638079
202107010030,143,34.529163,21.5771
202107010030,146,31.063871,23.453941
202107010030,152,19.304665,20.141249
202107010030,155,16.909111,19.919594
202107010030,156,18.956083,22.44149
202107010030,159,21.462786,21.925533
202107010030,162,21.454279,21.663824
202107010030,165,22.769718,22.729286
202107010030,168,23.760975,22.962156
202107010030,169,20.763916,21.506529
202107010030,170,19.129274,20.878975
202107010030,172,24.324886,21.431292
202107010030,174,17.076878,18.778915
202107010030,177,23.991848,21.702269
202107010030,184,21.79417,23.3447
202107010030,185,7.5357413,22.959826
202107010030,188,28.751398,22.694622
202107010030,189,19.970615,23.428324
202107010030,192,18.321901,19.36696
202107010030,201,22.585432,20.313244
202107010030,202,20.58926,21.019009
202107010030,203,32.261166,20.323162
202107010030,211,23.784086,20.229702
202107010030,212,23.271227,19.59782
202107010030,216,19.46835,17.053478
202107010030,217,27.623577,19.274216
202107010030,221,23.181356,19.752449
202107010030,226,20.076017,20.110416
202107010030,232,22.90347,20.632963
202107010030,235,21.502636,21.194885
202107010030,236,22.336056,21.868885
202107010030,238,21.58863,20.893679
202107010030,239,23.362019,22.397432
202107010030,243,21.561893,23.374018
202107010030,244,30.42519,20.251598
202107010030,245,22.280264,21.616383
202107010030,247,22.022657,20.957544
202107010030,248,20.724092,18.599464
202107010030,251,21.582,21.599825
202107010030,252,23.600634,21.217882
202107010030,253,21.930431,20.63646
202107010030,254,21.703104,21.450665
202107010030,255,25.818819,21.058813
202107010030,257,23.48786,22.318613
202107010030,258,21.100254,20.378956
202107010030,259,19.239954,20.196333
202107010030,260,17.366758,19.421356
202107010030,261,20.310106,19.467062
202107010030,262,20.508698,18.621271
202107010030,263,25.148003,20.713366
202107010030,264,21.256586,20.145515
202107010030,266,19.528147,21.307312
202107010030,271,23.881592,17.44939
202107010030,272,23.380302,20.303093
202107010030,273,20.256657,21.123116
202107010030,276,18.776804,17.281471
202107010030,277,20.513311,19.108566
202107010030,278,22.906502,19.44437
202107010030,279,21.703608,21.380589
202107010030,281,22.308088,19.450367
202107010030,283,21.064661,18.971481
202107010030,284,31.730549,20.317472
202107010030,285,22.197882,21.469162
202107010030,288,25.443516,21.121433
202107010030,289,22.780912,20.78529
202107010030,294,20.823172,21.814844
202107010030,295,20.747932,20.063889
202107010030,676,20.101437,20.311844
202107010030,702,21.233574,23.082993
202107010030,970,22.761295,19.571358
202107010030,972,21.653118,19.519018
202107010030,973,20.64483,20.003279
202107010030,974,21.845142,19.800854
202107010030,977,23.373528,21.743208
202107010030,978,19.540453,20.449842
202107010030,980,20.398106,21.374182
202107010130,90,17.589151,20.493734
202107010130,93,22.777761,20.22713
202107010130,95,22.519957,19.2327
202107010130,98,21.523092,19.653078
202107010130,99,21.255373,20.109179
202107010130,100,21.941267,14.666174
202107010130,101,21.930668,21.18709
202107010130,102,19.9534,18.648712
202107010130,104,21.155037,19.600239
202107010130,105,27.642061,21.20276
202107010130,106,22.702646,20.01081
202107010130,108,22.374025,22.767916
202107010130,112,27.571291,22.126297
202107010130,114,20.996006,20.126884
202107010130,115,20.93647,19.696316
202107010130,119,22.545147,21.131222
202107010130,121,21.347368,19.07725
202107010130,127,22.11472,20.12372
202107010130,129,21.978886,20.340654
202107010130,130,7.016703,20.13618
202107010130,131,23.072994,23.062445
202107010130,133,21.79536,22.497362
202107010130,135,21.309872,19.574682
202107010130,136,19.518936,19.501066
202107010130,137,23.435602,21.829924
202107010130,138,22.425497,21.271303
202107010130,140,30.7848,21.918741
202107010130,143,22.07347,21.16347
202107010130,146,20.502821,23.149248
202107010130,152,20.730135,19.860893
202107010130,155,15.802405,19.92402
202107010130,156,19.050875,22.363672
202107010130,159,22.002848,21.568363
202107010130,162,21.306288,21.494404
202107010130,165,23.23521,22.204035
202107010130,168,23.974396,22.540766
202107010130,169,21.826138,22.298485
202107010130,170,30.223726,21.106846
202107010130,172,25.344309,21.097961
202107010130,174,17.982136,18.243729
202107010130,177,31.47133,21.092773
202107010130,184,28.143131,23.016197
202107010130,185,8.908513,22.346762
202107010130,188,19.219534,22.43811
202107010130,189,19.942892,23.468555
202107010130,192,19.53822,19.125582
202107010130,201,20.060707,19.459204
202107010130,202,22.431133,21.000683
202107010130,203,21.763199,20.283737
202107010130,211,23.402977,19.991304
202107010130,212,23.492107,19.766174
202107010130,216,21.49623,16.555079
202107010130,217,27.747244,19.387999
202107010130,221,31.591776,19.29324
202107010130,226,20.174566,19.778452
202107010130,232,23.066238,20.655659
202107010130,235,20.909336,21.243347
202107010130,236,30.24077,21.922293
202107010130,238,25.24775,20.912354
202107010130,239,20.781975,22.256691
202107010130,243,20.912045,22.49096
202107010130,244,22.785986,20.194387
202107010130,245,23.727026,21.90208
202107010130,247,22.365973,20.686947
202107010130,248,20.899544,18.301582
202107010130,251,22.950787,20.402615
202107010130,252,22.310268,21.156027
202107010130,253,22.265162,20.282196
202107010130,254,23.597137,21.59695
202107010130,255,19.248522,20.959026
202107010130,257,28.285421,22.019701
202107010130,258,21.0291,19.973478
202107010130,259,20.080309,19.777237
202107010130,260,16.86462,19.220297
202107010130,261,20.291115,19.186497
202107010130,262,17.870924,18.214094
202107010130,263,23.526062,20.130028
202107010130,264,20.157585,19.72459
202107010130,266,17.691227,21.437231
202107010130,271,23.510817,17.476553
202107010130,272,23.30428,20.36558
202107010130,273,20.673927,20.608313
202107010130,276,19.165962,16.68482
202107010130,277,18.625736,19.140781
202107010130,278,31.537949,19.058847
202107010130,279,31.589132,20.867281
202107010130,281,22.09413,18.769146
202107010130,283,27.165472,18.14939
202107010130,284,21.822752,19.866182
202107010130,285,22.913433,20.773226
202107010130,288,24.776306,20.178183
202107010130,289,23.103287,20.187319
202107010130,294,20.867384,21.414137
202107010130,295,19.623045,20.039001
202107010130,676,21.586037,20.600956
202107010130,702,21.184174,22.617794
202107010130,970,22.517498,19.655859
202107010130,972,20.79078,18.96498
202107010130,973,20.825293,19.837078
202107010130,974,19.643766,19.294584
202107010130,977,23.415373,21.490108
202107010130,978,19.462534,19.93911
202107010130,980,18.85408,21.380884
202107010230,90,18.69256,20.520023
202107010230,93,22.987904,19.898003
202107010230,95,22.162502,19.082647
202107010230,98,22.01378,19.146471
202107010230,99,23.438948,19.301453
202107010230,100,22.518757,14.347561
202107010230,101,23.24441,20.744642
202107010230,102,30.402817,18.75632
202107010230,104,22.03359,19.755333
202107010230,105,21.855495,21.028408
202107010230,106,22.559574,19.500265
202107010230,108,21.751528,22.263319
202107010230,112,22.258207,22.11722
202107010230,114,30.41114,19.708471
202107010230,115,20.104862,19.372684
202107010230,119,22.57594,20.735294
202107010230,121,20.78126,18.676193
202107010230,127,23.963554,20.498024
202107010230,129,22.536036,20.691916
202107010230,130,10.768799,19.706738
202107010230,131,23.421278,22.44259
202107010230,133,27.781958,22.516296
202107010230,135,21.456966,19.66712
202107010230,136,21.9541,19.716257
202107010230,137,30.88224,21.163628
202107010230,138,21.934074,20.936342
202107010230,140,30.622744,21.592497
202107010230,143,21.413565,20.706419
202107010230,146,22.033484,22.63702
202107010230,152,29.339176,19.714771
202107010230,155,16.667187,19.79501
202107010230,156,18.202381,21.72775
202107010230,159,21.094828,21.640753
202107010230,162,21.232431,21.560991
202107010230,165,22.330154,22.004175
202107010230,168,23.26083,22.505314
202107010230,169,20.450384,21.503252
202107010230,170,18.934858,20.643988
202107010230,172,34.647015,20.73005
202107010230,174,18.13734,17.706356
202107010230,177,20.997574,20.940622
202107010230,184,21.941797,23.196438
202107010230,185,9.48298,23.233315
202107010230,188,18.933817,22.588055
202107010230,189,20.915482,23.51976
202107010230,192,20.36149,18.706156
202107010230,201,20.686234,19.481998
202107010230,202,30.876587,20.68346
202107010230,203,24.112658,19.856388
202107010230,211,23.33263,20.038687
202107010230,212,25.301338,19.607382
202107010230,216,21.653713,16.31846
202107010230,217,23.270842,19.41345
202107010230,221,21.91769,18.825407
202107010230,226,19.74093,19.718008
202107010230,232,29.952026,20.154018
202107010230,235,20.385525,21.297958
202107010230,236,22.328482,21.348951
202107010230,238,23.845535,21.167002
202107010230,239,20.714441,21.790472
202107010230,243,22.437187,22.368185
202107010230,244,20.507328,19.439224
202107010230,245,33.034252,20.93843
202107010230,247,32.171818,20.241741
202107010230,248,21.447603,18.011095
202107010230,251,22.70158,20.646093
202107010230,252,21.93643,20.506096
202107010230,253,23.000122,20.576807
202107010230,254,23.452309,21.1144
202107010230,255,19.661047,20.726534
202107010230,257,22.617544,21.391527
202107010230,258,20.100327,19.93404
202107010230,259,19.859344,19.24138
202107010230,260,17.910788,18.70069
202107010230,261,30.323544,18.75705
202107010230,262,18.177332,17.892342
202107010230,263,24.243855,19.724663
202107010230,264,20.569464,19.30456
202107010230,266,17.829447,21.359318
202107010230,271,22.823523,17.222399
202107010230,272,22.507233,18.876019
202107010230,273,21.567747,19.626318
202107010230,276,24.62489,16.815624
202107010230,277,18.537312,18.60615
202107010230,278,31.709621,18.734303
202107010230,279,22.979618,20.430275
202107010230,281,23.185074,18.097054
202107010230,283,19.58837,18.11137
202107010230,284,21.343256,19.137386
202107010230,285,22.786577,20.003168
202107010230,288,25.41296,20.114092
202107010230,289,24.231909,19.613655
202107010230,294,22.295517,20.80042
202107010230,295,21.476583,19.901123
202107010230,676,20.063543,20.338722
202107010230,702,22.348345,22.503363
202107010230,970,21.761988,19.538132
202107010230,972,19.712757,19.642399
202107010230,973,21.050562,19.42103
202107010230,974,20.412643,18.79614
202107010230,977,22.759592,21.252857
202107010230,978,18.592928,20.147476
202107010230,980,20.481894,22.990152
202107010330,90,19.88883,19.948538
202107010330,93,22.378065,19.768948
202107010330,95,19.50785,18.801788
202107010330,98,23.3487,19.107878
202107010330,99,22.954376,20.2484
202107010330,100,24.37496,14.33776
202107010330,101,22.810894,20.423296
202107010330,102,21.726587,18.670029
