yy,mm,dd,heat_supply_day1,heat_supply_day2
2022,3,4,358.46691567349006,292.0064737314914
2022,3,5,344.99329968563,300.15901894742143
2022,3,6,386.43459368244396,370.8764834690195
2022,3,7,601.2241624253393,626.2176457310873
2022,3,8,407.3373793612818,367.95021720554746
2022,3,9,353.29969353117957,295.2665660866593
2022,3,10,320.70409995002177,291.87089197681576
2022,3,11,321.53590520477337,337.18393387688093
2022,3,12,268.96231937001784,312.2134889505083
2022,3,13,305.3395718891808,213.75422083635743
2022,3,18,411.756375694668,408.24910496028525
2022,3,19,404.9968727457145,609.3092596984302
2022,3,20,322.7188267688946,381.1196794587465
