yy,mm,dd,heat_supply_day1,heat_supply_day2
2022,3,4,748.3377510173234,699.033956401986
2022,3,5,425.71258783532534,399.2134889801757
2022,3,6,446.47820524568505,461.6233748893003
2022,3,7,502.9620612818486,461.36503605461144
2022,3,8,760.5012800684609,661.3751744340556
2022,3,9,495.2867031026011,435.09573797506914
2022,3,10,473.22758203696003,404.60280357208865
2022,3,11,420.7836249272149,408.1049103441279
2022,3,12,421.237132217386,403.4302721022613
2022,3,13,344.1554025885674,362.6692089229897
2022,3,18,612.6181896735349,710.5294082188207
2022,3,19,587.1426730045953,566.5884236682966
2022,3,20,500.45975378274153,630.4114117516001
