
[검색조건]
지점명 : 서울, 기간 : 20210701 ~ 20220701
일자,기온(°C),습도(%rh),체감온도(°C)
2021-07-01,30.6,56.7,31.3
2021-07-02,31.6,53,31.9
2021-07-03,25.7,66.4,27.2
2021-07-04,23.1,98.2,26.8
2021-07-05,26.7,69.7,28.4
2021-07-06,30,57.5,30.7
2021-07-07,29.1,69.1,30.8
2021-07-08,29.7,69.8,31.5
2021-07-09,29.2,64.9,30.6
2021-07-10,29.1,66.7,30.6
2021-07-11,27.5,83.5,30.3
2021-07-12,32.3,63.6,33.6
2021-07-13,31.4,66.1,32.9
2021-07-14,33.4,60.5,34.4
2021-07-15,34.5,55.5,35
2021-07-16,35.1,51.3,35.2
2021-07-17,32.8,53.6,33.2
2021-07-18,34,49.4,33.9
2021-07-19,30.5,62.7,31.7
2021-07-20,31.8,62.1,33
2021-07-21,35.1,49,35
2021-07-22,35.7,41.5,34.7
2021-07-23,35.4,49.2,35.3
2021-07-24,36.5,41.6,35.5
2021-07-25,35.8,44.3,35.1
2021-07-26,35.3,46.2,34.9
2021-07-27,35.7,47.5,35.4
2021-07-28,34.4,56.9,35.1
2021-07-29,33.3,60.7,34.3
2021-07-30,35.3,46.1,34.9
2021-07-31,34,57.8,34.7
2021-08-01,28.8,81.7,31.5
2021-08-02,28.6,71.1,30.5
2021-08-03,31.4,66.1,32.9
2021-08-04,33,58.2,33.8
2021-08-05,33.7,54.8,34.2
2021-08-06,32.2,61.3,33.3
2021-08-07,32.3,50.8,32.4
2021-08-08,32,60.1,33
2021-08-09,33.6,45.2,33.1
2021-08-10,32.1,50.9,32.2
2021-08-11,31.5,57.8,32.3
2021-08-12,31.7,57,32.4
2021-08-13,30.1,60.6,31.1
2021-08-14,30.4,52.7,30.7
2021-08-15,32.2,45.6,31.8
2021-08-16,32.6,43.8,31.9
2021-08-17,31.2,49.4,31.1
2021-08-18,31,48.6,30.9
2021-08-19,31.4,44.8,30.9
2021-08-20,30.6,52.6,30.9
2021-08-21,25.4,83.1,28.1
2021-08-22,26.8,69.6,28.5
2021-08-23,23.9,87.3,26.9
2021-08-24,26.4,93,29.8
2021-08-25,27.3,76.2,29.5
2021-08-26,27.7,81.9,30.4
2021-08-27,25.5,87.3,28.5
2021-08-28,28.2,60.7,29.2
2021-08-29,26.3,70.2,28.1
2021-08-30,27.7,63.2,28.9
2021-08-31,23,89.7,26.1
2021-09-01,23.9,74.7,26
2021-09-02,26.5,61.5,27.6
2021-09-03,29.2,43,28.6
2021-09-04,28.6,48.7,28.6
2021-09-05,27.2,55.3,27.7
2021-09-06,26.4,52.9,26.8
2021-09-07,20.9,98.9,24.6
2021-09-08,26.7,63.5,28
2021-09-09,29.1,52.2,29.4
2021-09-10,28.9,52.7,29.2
2021-09-11,29.4,52.2,29.7
2021-09-12,29.2,53.2,29.6
2021-09-13,30.2,54.5,30.7
2021-09-14,29.4,46.5,29.1
2021-09-15,28.8,46.9,28.6
2021-09-16,27.2,49.8,27.3
2021-09-17,28.1,50.2,28.2
2021-09-18,29.8,47.2,29.6
2021-09-19,27.3,62.5,28.5
2021-09-20,28.3,50.6,28.4
2021-09-21,26.2,64.2,27.5
2021-09-22,24,67.1,25.5
2021-09-23,25.9,50.5,26.1
2021-09-24,26.7,52.2,27
2021-09-25,23.1,69.3,24.8
2021-09-26,27.3,51.9,27.6
2021-09-27,25,56.4,25.7
2021-09-28,24.3,63,25.5
2021-09-29,21.3,98.3,24.9
2021-09-30,25.9,65.3,27.3
2021-10-01,27.3,52.4,27.6
2021-10-02,26.5,57.2,27.2
2021-10-03,28.5,50.2,28.6
2021-10-04,25.6,78.3,28
2021-10-05,26.4,67.7,28
2021-10-06,21.7,88.3,24.6
2021-10-07,21.9,78.9,24.2
2021-10-08,20,93.2,23.3
2021-10-09,24.1,73.8,26.1
2021-10-10,24.3,82.3,26.9
2021-10-11,17.8,72.2,19.6
2021-10-12,21.2,56.8,22
2021-10-13,25.2,55.4,25.8
2021-10-14,23.5,61.2,24.6
2021-10-15,21.4,69.1,23.1
2021-10-16,18.1,63.4,19.4
2021-10-17,10.8,29.6,10.4
2021-10-18,15.8,48.1,16.2
2021-10-19,15,62.3,16.3
2021-10-20,15.4,44.5,15.5
2021-10-21,16.2,44,16.2
2021-10-22,17.2,40.2,16.9
2021-10-23,18.4,34,17.6
2021-10-24,18.1,40.8,17.8
2021-10-25,17.6,39.3,17.2
2021-10-26,19,52.5,19.5
2021-10-27,18.1,34.1,17.3
2021-10-28,20,32.9,19
2021-10-29,20.6,39.1,20
2021-10-30,18,49.8,18.4
2021-10-31,20.3,49.9,20.6
2021-11-01,16.6,58.5,17.6
2021-11-02,16.9,51.8,17.5
2021-11-03,17.1,46.4,17.3
2021-11-04,16.3,64.4,17.7
2021-11-05,19.1,45.5,19.1
2021-11-06,21.2,36.6,20.4
2021-11-07,21.3,42.6,21
2021-11-08,15.4,72.5,17.3
2021-11-09,6.4,86.9,9
2021-11-10,7.7,56.9,8.9
2021-11-11,9.6,52.6,10.5
2021-11-12,8.6,42.6,9.1
2021-11-13,13.4,51.5,14.1
2021-11-14,15.6,59.7,16.7
2021-11-15,15.7,39.6,15.5
2021-11-16,13.5,38.4,13.4
2021-11-17,12.5,47.8,13
