일자,5CM 정시 지중온도(°C),10CM 정시 지중온도(°C),20CM 정시 지중온도(°C),30CM 정시 지중온도(°C),0.5M 정시 지중온도(°C),1.0M 정시 지중온도(°C)
2021-11-26 0:00,5.3,5.8,6.3,11,12.2,16.1
2021-11-26 1:00,4.5,5.1,5.7,10.9,12.2,16.1
2021-11-26 2:00,3.8,4.4,5.1,10.8,12.2,16.1
2021-11-26 3:00,3.3,3.9,4.6,10.6,12.2,16
2021-11-26 4:00,3,3.5,4.2,10.4,12.2,16
2021-11-26 5:00,2.8,3.3,3.9,10.3,12.2,16.1
2021-11-26 6:00,2.8,3.1,3.7,10.1,12.1,16
2021-11-26 7:00,2.7,3.1,3.5,10,12.1,16
2021-11-26 8:00,2.4,2.8,3.3,9.7,11.9,15.9
2021-11-26 9:00,3.2,3,3.4,9.5,11.9,15.9
2021-11-26 10:00,4.7,4.3,3.9,9.4,11.9,15.9
2021-11-26 11:00,6.7,6.3,5.1,9.3,11.8,15.9
2021-11-26 12:00,8.8,8.4,6.7,9.3,11.8,15.9
2021-11-26 13:00,10.9,10.4,8.4,9.3,11.7,15.9
2021-11-26 14:00,12.4,12,9.8,9.5,11.7,15.9
2021-11-26 15:00,13.1,12.8,10.8,9.8,11.7,16
2021-11-26 16:00,12.7,12.5,11,10,11.7,16
2021-11-26 17:00,11.3,11.2,10.4,10.2,11.7,15.9
2021-11-26 18:00,9.2,9.5,9.4,10.5,11.7,15.9
2021-11-26 19:00,7.4,8,8.4,10.7,11.8,15.9
2021-11-26 20:00,6.1,6.8,7.4,10.8,11.8,16
2021-11-26 21:00,5,5.7,6.5,10.7,11.8,15.9
2021-11-26 22:00,4.2,4.9,5.7,10.6,11.8,15.9
2021-11-26 23:00,3.6,4.3,5,10.5,11.8,15.9
2021-11-27 0:00,3.2,3.8,4.6,10.4,11.9,15.9
2021-11-27 1:00,2.8,3.4,4.1,10.2,11.8,15.8
2021-11-27 2:00,2.5,3.2,3.8,10.1,11.8,15.9
2021-11-27 3:00,2.3,2.8,3.4,9.9,11.8,15.8
2021-11-27 4:00,2.1,2.7,3.2,9.8,11.8,15.9
2021-11-27 5:00,1.9,2.4,3,9.6,11.7,15.9
2021-11-27 6:00,1.7,2.2,2.8,9.4,11.6,15.8
2021-11-27 7:00,1.6,2.1,2.6,9.3,11.6,15.8
2021-11-27 8:00,1.5,1.9,2.4,9,11.5,15.7
2021-11-27 9:00,1.7,1.9,2.5,8.9,11.4,15.7
2021-11-27 10:00,2.2,2.2,2.7,8.8,11.4,15.8
2021-11-27 11:00,3.2,2.9,2.9,8.6,11.3,15.7
2021-11-27 12:00,6.3,6.1,4.6,8.5,11.3,15.7
2021-11-27 13:00,9.4,9.1,6.8,8.5,11.2,15.7
2021-11-27 14:00,11.7,11.4,8.8,8.7,11.3,15.8
2021-11-27 15:00,12.7,12.5,10.1,8.9,11.2,15.8
2021-11-27 16:00,12.7,12.4,10.6,9.2,11.3,15.8
2021-11-27 17:00,10.9,10.9,10,9.5,11.2,15.8
2021-11-27 18:00,8.5,9,8.9,9.7,11.2,15.8
2021-11-27 19:00,6.5,7.2,7.6,9.9,11.2,15.7
2021-11-27 20:00,5.2,5.9,6.6,10,11.2,15.7
2021-11-27 21:00,4.1,4.9,5.7,10,11.2,15.7
2021-11-27 22:00,3.3,4,4.8,9.9,11.2,15.7
2021-11-27 23:00,2.7,3.5,4.2,9.8,11.2,15.7
2021-11-28 0:00,2.4,3.2,3.8,9.7,11.2,15.7
2021-11-28 1:00,2.1,2.8,3.4,9.5,11.2,15.6
2021-11-28 2:00,2,2.5,3.1,9.4,11.2,15.6
2021-11-28 3:00,1.7,2.2,2.8,9.2,11.2,15.6
2021-11-28 4:00,1.5,2.1,2.6,9,11.1,15.6
2021-11-28 5:00,1.4,1.8,2.4,8.9,11.1,15.6
2021-11-28 6:00,1.2,1.7,2.2,8.7,11.1,15.6
2021-11-28 7:00,1.1,1.6,2,8.6,11,15.6
2021-11-28 8:00,0.9,1.3,1.8,8.3,10.8,15.5
2021-11-28 9:00,1.2,1.5,1.9,8.3,10.8,15.5
2021-11-28 10:00,1.4,1.6,2,8.1,10.7,15.4
2021-11-28 11:00,1.8,1.8,2.1,8,10.7,15.4
2021-11-28 12:00,2.9,2.8,2.7,7.9,10.6,15.4
2021-11-28 13:00,6.8,6.8,4.8,7.8,10.6,15.4
2021-11-28 14:00,9.6,9.3,6.9,7.8,10.5,15.4
2021-11-28 15:00,12,11.4,8.7,7.9,10.5,15.4
2021-11-28 16:00,12.7,12.1,9.8,8.2,10.5,15.4
2021-11-28 17:00,11.9,11.5,9.8,8.5,10.5,15.5
2021-11-28 18:00,9.5,9.7,9,8.8,10.5,15.4
2021-11-28 19:00,7.7,8.2,8.1,9.1,10.5,15.4
2021-11-28 20:00,6.2,6.8,7.1,9.2,10.5,15.4
2021-11-28 21:00,5.1,5.8,6.2,9.3,10.5,15.4
2021-11-28 22:00,4.3,4.9,5.4,9.3,10.5,15.3
2021-11-28 23:00,3.6,4.1,4.7,9.2,10.4,15.2
2021-11-29 0:00,3.1,3.7,4.2,9.1,10.5,15.3
2021-11-29 1:00,2.8,3.3,3.8,9.1,10.6,15.3
2021-11-29 2:00,2.4,3,3.5,8.9,10.6,15.3
2021-11-29 3:00,2.2,2.7,3.2,8.8,10.6,15.3
2021-11-29 4:00,2,2.4,2.9,8.7,10.5,15.2
2021-11-29 5:00,1.9,2.3,2.7,8.5,10.5,15.2
2021-11-29 6:00,2,2.3,2.6,8.4,10.5,15.2
2021-11-29 7:00,1.9,2.2,2.5,8.3,10.4,15.2
2021-11-29 8:00,1.9,2.2,2.4,8.1,10.4,15.1
2021-11-29 9:00,2,2.2,2.4,8.1,10.4,15.1
2021-11-29 10:00,2.4,2.3,2.5,7.9,10.3,15.1
2021-11-29 11:00,4.8,4.7,3.4,7.8,10.3,15.1
2021-11-29 12:00,7.8,7.6,5.6,7.8,10.3,15.1
2021-11-29 13:00,10.5,10.2,7.7,7.9,10.3,15.1
2021-11-29 14:00,12.4,12,9.3,8.1,10.3,15.2
2021-11-29 15:00,13.7,13.3,10.7,8.4,10.3,15.2
2021-11-29 16:00,14,13.5,11.3,8.6,10.3,15.1
2021-11-29 17:00,12.5,12.3,10.9,9,10.3,15.1
2021-11-29 18:00,10.6,10.8,10.2,9.4,10.4,15.2
2021-11-29 19:00,9.1,9.6,9.3,9.6,10.4,15.2
2021-11-29 20:00,7.7,8.3,8.4,9.7,10.4,15.1
2021-11-29 21:00,6.7,7.3,7.5,9.8,10.4,15.1
2021-11-29 22:00,5.9,6.5,6.8,9.8,10.5,15.1
2021-11-29 23:00,5.2,5.8,6.2,9.8,10.6,15.1
