일자,10CM 정시 토양수분(%),20CM 정시 토양수분(%),30CM 정시 토양수분(%),50CM 정시 토양수분(%),smart_farm.shield_light_h,smart_farm.shield_tmperature_h,smart_farm.shield_energy_h,smart_farm.shield_energy_v,smart_farm.exhaust_fan,smart_farm.ceiling,smart_farm.floating_fan,smart_farm.fan_coil_b_site,smart_farm.ventilation_temperature_control,smart_farm.heating_temperature_set_up,smart_farm.heat_supply
2021-11-26 0:00,21.4,22.19090909,21.8,24.37272727,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,28.0,18.0,46.8
2021-11-26 1:00,21.32727273,22.17272727,21.9,24.38181818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65,28.0,18.0,48.7
2021-11-26 2:00,21.28181818,22.12727273,21.74545455,24.37272727,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.683333333,28.0,18.0,45.0
2021-11-26 3:00,21.22727273,22.10909091,21.71818182,24.37272727,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,28.0,18.0,46.0
2021-11-26 4:00,21.16363636,22.07272727,21.7,24.36363636,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.783333333,28.0,18.0,31.0
2021-11-26 5:00,21.1,22.06363636,21.68181818,24.36363636,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28.0,18.17,40.5
2021-11-26 6:00,21.04545455,22.05454545,21.69090909,24.36363636,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.925,19.08333333,27.5
2021-11-26 7:00,20.99090909,22.03636364,21.6,24.36363636,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,20.08333333,30.4
2021-11-26 8:00,20.93636364,22.00909091,21.54545455,24.35454545,46.5,57.93333333,0.0,5.416666667,0.0,0.0,1.0,0.466666667,27.0,20.575,13.1
2021-11-26 9:00,20.94545455,22.01818182,21.52727273,24.35454545,100.0,100.0,15.96666667,99.61666667,0.0,5.6,1.0,0.0,27.0,20.0,6.0
2021-11-26 10:00,20.92727273,22.15454545,21.59090909,24.35454545,100.0,100.0,100.0,100.0,0.516666667,29.05,0.75,0.0,28.60333333,20.0,6.0
2021-11-26 11:00,20.97272727,22.07272727,21.55454545,24.37272727,100.0,100.0,100.0,100.0,0.616666667,25.41666667,0.983333333,0.0,30.0,20.0,6.0
2021-11-26 12:00,21.03636364,22.03636364,21.55454545,24.37272727,100.0,100.0,100.0,100.0,0.716666667,27.6,0.95,0.0,30.0,20.0,6.0
