지점,지점명,일시,10CM 정시 토양수분(%),20CM 정시 토양수분(%),30CM 정시 토양수분(%),50CM 정시 토양수분(%),,일시,10CM 정시 토양수분(%),20CM 정시 토양수분(%),30CM 정시 토양수분(%),50CM 정시 토양수분(%)
129,서산,2021-11-26 0:00,15.6,16.8,28.3,35,,2021-11-26 0:00,15.6,16.8,28.3,35
129,서산,2021-11-26 1:00,15.5,16.6,28.1,35,,2021-11-26 1:00,15.5,16.6,28.1,35
129,서산,2021-11-26 2:00,15.5,16.6,28.1,35,,2021-11-26 2:00,15.5,16.6,28.1,35
129,서산,2021-11-26 3:00,15.6,16.6,28.1,35,,2021-11-26 3:00,15.6,16.6,28.1,35
129,서산,2021-11-26 4:00,15.6,16.5,28.1,35,,2021-11-26 4:00,15.6,16.5,28.1,35
129,서산,2021-11-26 5:00,15.5,16.5,28.1,35,,2021-11-26 5:00,15.5,16.5,28.1,35
129,서산,2021-11-26 6:00,15.4,16.5,28,35,,2021-11-26 6:00,15.4,16.5,28,35
129,서산,2021-11-26 7:00,15.4,16.5,28,35,,2021-11-26 7:00,15.4,16.5,28,35
129,서산,2021-11-26 8:00,15.4,16.4,28,35,,2021-11-26 8:00,15.4,16.4,28,35
129,서산,2021-11-26 9:00,15.4,16.4,28,35,,2021-11-26 9:00,15.4,16.4,28,35
129,서산,2021-11-26 10:00,15.4,16.4,28,35,,2021-11-26 10:00,15.4,16.4,28,35
129,서산,2021-11-26 11:00,15.4,16.4,28,35,,2021-11-26 11:00,15.4,16.4,28,35
129,서산,2021-11-26 12:00,15.4,16.4,27.9,35,,2021-11-26 12:00,15.4,16.4,27.9,35
129,서산,2021-11-26 13:00,15.3,16.3,27.9,35,,2021-11-26 13:00,15.3,16.3,27.9,35
129,서산,2021-11-26 14:00,15.3,16.3,27.9,35,,2021-11-26 14:00,15.3,16.3,27.9,35
129,서산,2021-11-26 15:00,15.1,16.3,27.8,35,,2021-11-26 15:00,15.1,16.3,27.8,35
129,서산,2021-11-26 16:00,15.1,16.3,27.8,35,,2021-11-26 16:00,15.1,16.3,27.8,35
129,서산,2021-11-26 17:00,14.9,16.3,27.8,34.8,,2021-11-26 17:00,14.9,16.3,27.8,34.8
129,서산,2021-11-26 18:00,14.9,16.3,27.8,34.8,,2021-11-26 18:00,14.9,16.3,27.8,34.8
129,서산,2021-11-26 19:00,14.9,16.3,27.8,34.8,,2021-11-26 19:00,14.9,16.3,27.8,34.8
129,서산,2021-11-26 20:00,14.9,16.3,27.6,34.8,,2021-11-26 20:00,14.9,16.3,27.6,34.8
129,서산,2021-11-26 21:00,15.1,16.1,27.6,34.8,,2021-11-26 21:00,15.1,16.1,27.6,34.8
129,서산,2021-11-26 22:00,15,16.1,27.6,34.8,,2021-11-26 22:00,15,16.1,27.6,34.8
129,서산,2021-11-26 23:00,14.9,16.1,27.6,34.8,,2021-11-26 23:00,14.9,16.1,27.6,34.8
129,서산,2021-11-27 0:00,14.9,16,27.6,34.8,,2021-11-27 0:00,14.9,16,27.6,34.8
129,서산,2021-11-27 1:00,14.8,16,27.6,34.8,,2021-11-27 1:00,14.8,16,27.6,34.8
129,서산,2021-11-27 2:00,14.8,16,27.5,34.8,,2021-11-27 2:00,14.8,16,27.5,34.8
129,서산,2021-11-27 3:00,14.8,16,27.5,34.8,,2021-11-27 3:00,14.8,16,27.5,34.8
129,서산,2021-11-27 4:00,14.8,15.9,27.5,34.8,,2021-11-27 4:00,14.8,15.9,27.5,34.8
129,서산,2021-11-27 5:00,14.9,15.9,27.5,34.8,,2021-11-27 5:00,14.9,15.9,27.5,34.8
129,서산,2021-11-27 6:00,14.9,15.9,27.5,34.8,,2021-11-27 6:00,14.9,15.9,27.5,34.8
129,서산,2021-11-27 7:00,14.9,15.9,27.4,34.8,,2021-11-27 7:00,14.9,15.9,27.4,34.8
129,서산,2021-11-27 8:00,14.8,15.9,27.4,34.8,,2021-11-27 8:00,14.8,15.9,27.4,34.8
