瘤痢,瘤痢疙,老矫,10CM 沥矫 配剧荐盒(%),20CM 沥矫 配剧荐盒(%),30CM 沥矫 配剧荐盒(%),50CM 沥矫 配剧荐盒(%),,老矫,10CM 沥矫 配剧荐盒(%),20CM 沥矫 配剧荐盒(%),30CM 沥矫 配剧荐盒(%),50CM 沥矫 配剧荐盒(%)
702,劳魂,2021-11-26 0:00,30.8,32.3,32,31.9,,2021-11-26 0:00,30.8,32.3,32,31.9
702,劳魂,2021-11-26 1:00,30.6,32.3,32,31.9,,2021-11-26 1:00,30.6,32.3,32,31.9
702,劳魂,2021-11-26 2:00,30.5,32,32,31.9,,2021-11-26 2:00,30.5,32,32,31.9
702,劳魂,2021-11-26 3:00,30.4,32,32,31.8,,2021-11-26 3:00,30.4,32,32,31.8
702,劳魂,2021-11-26 4:00,30.4,32,32,31.8,,2021-11-26 4:00,30.4,32,32,31.8
702,劳魂,2021-11-26 5:00,30.3,32,32,31.8,,2021-11-26 5:00,30.3,32,32,31.8
702,劳魂,2021-11-26 6:00,30.2,32,31.9,31.8,,2021-11-26 6:00,30.2,32,31.9,31.8
702,劳魂,2021-11-26 7:00,30.1,32,31.9,31.8,,2021-11-26 7:00,30.1,32,31.9,31.8
702,劳魂,2021-11-26 8:00,30,32,31.9,31.8,,2021-11-26 8:00,30,32,31.9,31.8
702,劳魂,2021-11-26 9:00,29.9,32,31.9,31.8,,2021-11-26 9:00,29.9,32,31.9,31.8
702,劳魂,2021-11-26 10:00,30,32,31.9,31.8,,2021-11-26 10:00,30,32,31.9,31.8
702,劳魂,2021-11-26 11:00,30,32,31.9,31.8,,2021-11-26 11:00,30,32,31.9,31.8
702,劳魂,2021-11-26 12:00,30.1,32,31.9,31.8,,2021-11-26 12:00,30.1,32,31.9,31.8
702,劳魂,2021-11-26 13:00,30,32,31.9,31.6,,2021-11-26 13:00,30,32,31.9,31.6
702,劳魂,2021-11-26 14:00,30,32,31.9,31.6,,2021-11-26 14:00,30,32,31.9,31.6
702,劳魂,2021-11-26 15:00,29.9,32,31.9,31.6,,2021-11-26 15:00,29.9,32,31.9,31.6
702,劳魂,2021-11-26 16:00,29.9,32,31.9,31.6,,2021-11-26 16:00,29.9,32,31.9,31.6
702,劳魂,2021-11-26 17:00,29.9,32,31.9,31.6,,2021-11-26 17:00,29.9,32,31.9,31.6
702,劳魂,2021-11-26 18:00,29.9,32,31.9,31.6,,2021-11-26 18:00,29.9,32,31.9,31.6
702,劳魂,2021-11-26 19:00,30,32,31.9,31.6,,2021-11-26 19:00,30,32,31.9,31.6
702,劳魂,2021-11-26 20:00,30,32,31.9,31.6,,2021-11-26 20:00,30,32,31.9,31.6
702,劳魂,2021-11-26 21:00,30.1,32,31.9,31.6,,2021-11-26 21:00,30.1,32,31.9,31.6
702,劳魂,2021-11-26 22:00,30.1,32,31.9,31.6,,2021-11-26 22:00,30.1,32,31.9,31.6
702,劳魂,2021-11-26 23:00,30,32,31.9,31.6,,2021-11-26 23:00,30,32,31.9,31.6
702,劳魂,2021-11-27 0:00,30,32,31.8,31.6,,2021-11-27 0:00,30,32,31.8,31.6
702,劳魂,2021-11-27 1:00,29.9,32,31.8,31.6,,2021-11-27 1:00,29.9,32,31.8,31.6
702,劳魂,2021-11-27 2:00,29.9,32,31.8,31.6,,2021-11-27 2:00,29.9,32,31.8,31.6
702,劳魂,2021-11-27 3:00,29.8,32,31.8,31.6,,2021-11-27 3:00,29.8,32,31.8,31.6
702,劳魂,2021-11-27 4:00,29.6,31.9,31.8,31.6,,2021-11-27 4:00,29.6,31.9,31.8,31.6
702,劳魂,2021-11-27 5:00,29.6,31.9,31.8,31.6,,2021-11-27 5:00,29.6,31.9,31.8,31.6
702,劳魂,2021-11-27 6:00,29.5,31.9,31.8,31.6,,2021-11-27 6:00,29.5,31.9,31.8,31.6
702,劳魂,2021-11-27 7:00,29.4,31.9,31.8,31.5,,2021-11-27 7:00,29.4,31.9,31.8,31.5
702,劳魂,2021-11-27 8:00,29.3,31.9,31.8,31.5,,2021-11-27 8:00,29.3,31.9,31.8,31.5
702,劳魂,2021-11-27 9:00,29.3,31.9,31.8,31.5,,2021-11-27 9:00,29.3,31.9,31.8,31.5
702,劳魂,2021-11-27 10:00,29.3,31.9,31.8,31.5,,2021-11-27 10:00,29.3,31.9,31.8,31.5
702,劳魂,2021-11-27 11:00,29.4,31.8,31.8,31.5,,2021-11-27 11:00,29.4,31.8,31.8,31.5
702,劳魂,2021-11-27 12:00,29.5,31.9,31.6,31.5,,2021-11-27 12:00,29.5,31.9,31.6,31.5
702,劳魂,2021-11-27 13:00,29.5,31.9,31.6,31.5,,2021-11-27 13:00,29.5,31.9,31.6,31.5
702,劳魂,2021-11-27 14:00,29.4,31.9,31.6,31.5,,2021-11-27 14:00,29.4,31.9,31.6,31.5
702,劳魂,2021-11-27 15:00,29.4,31.9,31.6,31.5,,2021-11-27 15:00,29.4,31.9,31.6,31.5
702,劳魂,2021-11-27 16:00,29.3,31.9,31.8,31.5,,2021-11-27 16:00,29.3,31.9,31.8,31.5
702,劳魂,2021-11-27 17:00,29.3,31.9,31.8,31.5,,2021-11-27 17:00,29.3,31.9,31.8,31.5
702,劳魂,2021-11-27 18:00,29.4,31.9,31.6,31.5,,2021-11-27 18:00,29.4,31.9,31.6,31.5
702,劳魂,2021-11-27 19:00,29.4,31.9,31.6,31.5,,2021-11-27 19:00,29.4,31.9,31.6,31.5
702,劳魂,2021-11-27 20:00,29.4,31.9,31.6,31.5,,2021-11-27 20:00,29.4,31.9,31.6,31.5
702,劳魂,2021-11-27 21:00,29.4,31.8,31.6,31.5,,2021-11-27 21:00,29.4,31.8,31.6,31.5
702,劳魂,2021-11-27 22:00,29.4,31.8,31.6,31.5,,2021-11-27 22:00,29.4,31.8,31.6,31.5
702,劳魂,2021-11-27 23:00,29.3,31.8,31.6,31.5,,2021-11-27 23:00,29.3,31.8,31.6,31.5
702,劳魂,2021-11-28 0:00,29.3,31.8,31.6,31.5,,2021-11-28 0:00,29.3,31.8,31.6,31.5
702,劳魂,2021-11-28 1:00,29.1,31.8,31.6,31.5,,2021-11-28 1:00,29.1,31.8,31.6,31.5
702,劳魂,2021-11-28 2:00,29,31.8,31.6,31.5,,2021-11-28 2:00,29,31.8,31.6,31.5
702,劳魂,2021-11-28 3:00,28.9,31.8,31.6,31.5,,2021-11-28 3:00,28.9,31.8,31.6,31.5
702,劳魂,2021-11-28 4:00,28.8,31.8,31.6,31.5,,2021-11-28 4:00,28.8,31.8,31.6,31.5
702,劳魂,2021-11-28 5:00,28.6,31.8,31.6,31.4,,2021-11-28 5:00,28.6,31.8,31.6,31.4
702,劳魂,2021-11-28 6:00,28.5,31.6,31.6,31.4,,2021-11-28 6:00,28.5,31.6,31.6,31.4
702,劳魂,2021-11-28 7:00,28.4,31.6,31.6,31.4,,2021-11-28 7:00,28.4,31.6,31.6,31.4
702,劳魂,2021-11-28 8:00,28.3,31.6,31.6,31.4,,2021-11-28 8:00,28.3,31.6,31.6,31.4
702,劳魂,2021-11-28 9:00,28.1,31.6,31.5,31.4,,2021-11-28 9:00,28.1,31.6,31.5,31.4
702,劳魂,2021-11-28 10:00,28.3,31.6,31.5,31.4,,2021-11-28 10:00,28.3,31.6,31.5,31.4
702,劳魂,2021-11-28 11:00,28.4,31.6,31.5,31.4,,2021-11-28 11:00,28.4,31.6,31.5,31.4
702,劳魂,2021-11-28 12:00,28.6,31.6,31.5,31.4,,2021-11-28 12:00,28.6,31.6,31.5,31.4
702,劳魂,2021-11-28 13:00,28.6,31.6,31.5,31.4,,2021-11-28 13:00,28.6,31.6,31.5,31.4
702,劳魂,2021-11-28 14:00,28.6,31.8,31.5,31.4,,2021-11-28 14:00,28.6,31.8,31.5,31.4
702,劳魂,2021-11-28 15:00,28.6,31.8,31.5,31.4,,2021-11-28 15:00,28.6,31.8,31.5,31.4
702,劳魂,2021-11-28 16:00,28.5,31.8,31.5,31.4,,2021-11-28 16:00,28.5,31.8,31.5,31.4
702,劳魂,2021-11-28 17:00,28.5,31.8,31.5,31.4,,2021-11-28 17:00,28.5,31.8,31.5,31.4
702,劳魂,2021-11-28 18:00,28.5,31.7,31.5,31.4,,2021-11-28 18:00,28.5,31.7,31.5,31.4
702,劳魂,2021-11-28 19:00,28.6,31.7,31.5,31.4,,2021-11-28 19:00,28.6,31.7,31.5,31.4
702,劳魂,2021-11-28 20:00,28.8,31.6,31.5,31.4,,2021-11-28 20:00,28.8,31.6,31.5,31.4
702,劳魂,2021-11-28 21:00,28.9,31.6,31.5,31.4,,2021-11-28 21:00,28.9,31.6,31.5,31.4
702,劳魂,2021-11-28 22:00,29,31.6,31.5,31.4,,2021-11-28 22:00,29,31.6,31.5,31.4
702,劳魂,2021-11-28 23:00,29,31.6,31.5,31.4,,2021-11-28 23:00,29,31.6,31.5,31.4
702,劳魂,2021-11-29 0:00,28.9,31.6,31.5,31.4,,2021-11-29 0:00,28.9,31.6,31.5,31.4
702,劳魂,2021-11-29 1:00,28.9,31.6,31.5,31.4,,2021-11-29 1:00,28.9,31.6,31.5,31.4
702,劳魂,2021-11-29 2:00,28.8,31.6,31.5,31.4,,2021-11-29 2:00,28.8,31.6,31.5,31.4
702,劳魂,2021-11-29 3:00,28.8,31.5,31.5,31.4,,2021-11-29 3:00,28.8,31.5,31.5,31.4
702,劳魂,2021-11-29 4:00,28.6,31.5,31.5,31.4,,2021-11-29 4:00,28.6,31.5,31.5,31.4
702,劳魂,2021-11-29 5:00,28.5,31.5,31.5,31.4,,2021-11-29 5:00,28.5,31.5,31.5,31.4
702,劳魂,2021-11-29 6:00,28.5,31.5,31.5,31.4,,2021-11-29 6:00,28.5,31.5,31.5,31.4
702,劳魂,2021-11-29 7:00,28.4,31.5,31.5,31.4,,2021-11-29 7:00,28.4,31.5,31.5,31.4
702,劳魂,2021-11-29 8:00,28.3,31.5,31.5,31.3,,2021-11-29 8:00,28.3,31.5,31.5,31.3
702,劳魂,2021-11-29 9:00,28.3,31.5,31.5,31.3,,2021-11-29 9:00,28.3,31.5,31.5,31.3
702,劳魂,2021-11-29 10:00,28.3,31.4,31.5,31.3,,2021-11-29 10:00,28.3,31.4,31.5,31.3
702,劳魂,2021-11-29 11:00,28.5,31.4,31.4,31.3,,2021-11-29 11:00,28.5,31.4,31.4,31.3
702,劳魂,2021-11-29 12:00,29,31.4,31.4,31.3,,2021-11-29 12:00,29,31.4,31.4,31.3
702,劳魂,2021-11-29 13:00,29,31.5,31.4,31.3,,2021-11-29 13:00,29,31.5,31.4,31.3
702,劳魂,2021-11-29 14:00,28.9,31.5,31.4,31.3,,2021-11-29 14:00,28.9,31.5,31.4,31.3
702,劳魂,2021-11-29 15:00,28.9,31.5,31.5,31.3,,2021-11-29 15:00,28.9,31.5,31.5,31.3
702,劳魂,2021-11-29 16:00,28.8,31.5,31.5,31.3,,2021-11-29 16:00,28.8,31.5,31.5,31.3
702,劳魂,2021-11-29 17:00,28.6,31.5,31.5,31.3,,2021-11-29 17:00,28.6,31.5,31.5,31.3
702,劳魂,2021-11-29 18:00,28.8,31.5,31.5,31.3,,2021-11-29 18:00,28.8,31.5,31.5,31.3
702,劳魂,2021-11-29 19:00,28.8,31.5,31.5,31.3,,2021-11-29 19:00,28.8,31.5,31.5,31.3
702,劳魂,2021-11-29 20:00,28.9,31.5,31.5,31.3,,2021-11-29 20:00,28.9,31.5,31.5,31.3
702,劳魂,2021-11-29 21:00,29,31.5,31.5,31.3,,2021-11-29 21:00,29,31.5,31.5,31.3
702,劳魂,2021-11-29 22:00,29.1,31.5,31.5,31.3,,2021-11-29 22:00,29.1,31.5,31.5,31.3
702,劳魂,2021-11-29 23:00,29.1,31.5,31.5,31.3,,2021-11-29 23:00,29.1,31.5,31.5,31.3
702,劳魂,2021-11-30 1:00,29.2,31.4,31.5,31.3,,2021-11-30 1:00,29.2,31.4,31.5,31.3
702,劳魂,2021-11-30 2:00,29.2,31.4,31.4,31.3,,2021-11-30 2:00,29.2,31.4,31.4,31.3
702,劳魂,2021-11-30 3:00,29.3,31.4,31.4,31.3,,2021-11-30 3:00,29.3,31.4,31.4,31.3
702,劳魂,2021-11-30 4:00,29.3,31.4,31.4,31.3,,2021-11-30 4:00,29.3,31.4,31.4,31.3
702,劳魂,2021-11-30 5:00,29.3,31.4,31.4,31.3,,2021-11-30 5:00,29.3,31.4,31.4,31.3
702,劳魂,2021-11-30 6:00,29.3,31.4,31.4,31.3,,2021-11-30 6:00,29.3,31.4,31.4,31.3
702,劳魂,2021-11-30 7:00,29.5,31.4,31.4,31.3,,2021-11-30 7:00,29.5,31.4,31.4,31.3
702,劳魂,2021-11-30 8:00,30.5,31.5,31.4,31.3,,2021-11-30 8:00,30.5,31.5,31.4,31.3
702,劳魂,2021-11-30 9:00,35.8,32.5,32.6,32.1,,2021-11-30 9:00,35.8,32.5,32.6,32.1
702,劳魂,2021-11-30 10:00,35.5,32.5,32.8,32.5,,2021-11-30 10:00,35.5,32.5,32.8,32.5
702,劳魂,2021-11-30 11:00,35.3,32.5,32.8,32.5,,2021-11-30 11:00,35.3,32.5,32.8,32.5
