일자,10CM 정시 토양수분(%),20CM 정시 토양수분(%),30CM 정시 토양수분(%),50CM 정시 토양수분(%),,일자,10CM 정시 토양수분(%),20CM 정시 토양수분(%),30CM 정시 토양수분(%),50CM 정시 토양수분(%)
2021-11-26 0:00,21.4,22.19090909,21.8,24.37272727,,2021-11-26 0:00,21.4,22.19090909,21.8,24.37272727
2021-11-26 1:00,21.32727273,22.17272727,21.9,24.38181818,,2021-11-26 1:00,21.32727273,22.17272727,21.9,24.38181818
2021-11-26 2:00,21.28181818,22.12727273,21.74545455,24.37272727,,2021-11-26 2:00,21.28181818,22.12727273,21.74545455,24.37272727
2021-11-26 3:00,21.22727273,22.10909091,21.71818182,24.37272727,,2021-11-26 3:00,21.22727273,22.10909091,21.71818182,24.37272727
2021-11-26 4:00,21.16363636,22.07272727,21.7,24.36363636,,2021-11-26 4:00,21.16363636,22.07272727,21.7,24.36363636
2021-11-26 5:00,21.1,22.06363636,21.68181818,24.36363636,,2021-11-26 5:00,21.1,22.06363636,21.68181818,24.36363636
2021-11-26 6:00,21.04545455,22.05454545,21.69090909,24.36363636,,2021-11-26 6:00,21.04545455,22.05454545,21.69090909,24.36363636
2021-11-26 7:00,20.99090909,22.03636364,21.6,24.36363636,,2021-11-26 7:00,20.99090909,22.03636364,21.6,24.36363636
2021-11-26 8:00,20.93636364,22.00909091,21.54545455,24.35454545,,2021-11-26 8:00,20.93636364,22.00909091,21.54545455,24.35454545
2021-11-26 9:00,20.94545455,22.01818182,21.52727273,24.35454545,,2021-11-26 9:00,20.94545455,22.01818182,21.52727273,24.35454545
2021-11-26 10:00,20.92727273,22.15454545,21.59090909,24.35454545,,2021-11-26 10:00,20.92727273,22.15454545,21.59090909,24.35454545
2021-11-26 11:00,20.97272727,22.07272727,21.55454545,24.37272727,,2021-11-26 11:00,20.97272727,22.07272727,21.55454545,24.37272727
2021-11-26 12:00,21.03636364,22.03636364,21.55454545,24.37272727,,2021-11-26 12:00,21.03636364,22.03636364,21.55454545,24.37272727
2021-11-26 13:00,21.03636364,22.04545455,21.51818182,24.35454545,,2021-11-26 13:00,21.03636364,22.04545455,21.51818182,24.35454545
2021-11-26 14:00,21.10909091,22.05454545,21.51818182,24.35454545,,2021-11-26 14:00,21.10909091,22.05454545,21.51818182,24.35454545
2021-11-26 15:00,21.06363636,22.06363636,21.51818182,24.35454545,,2021-11-26 15:00,21.06363636,22.06363636,21.51818182,24.35454545
2021-11-26 16:00,21.08181818,22.02727273,21.58181818,24.36363636,,2021-11-26 16:00,21.08181818,22.02727273,21.58181818,24.36363636
2021-11-26 17:00,21.05454545,22.09090909,21.56363636,24.32727273,,2021-11-26 17:00,21.05454545,22.09090909,21.56363636,24.32727273
2021-11-26 18:00,21.06363636,22.01818182,21.55454545,24.32727273,,2021-11-26 18:00,21.06363636,22.01818182,21.55454545,24.32727273
2021-11-26 19:00,21.08181818,21.90909091,21.54545455,24.33636364,,2021-11-26 19:00,21.08181818,21.90909091,21.54545455,24.33636364
2021-11-26 20:00,21.08181818,22.05454545,21.58181818,24.32727273,,2021-11-26 20:00,21.08181818,22.05454545,21.58181818,24.32727273
2021-11-26 21:00,21.09090909,21.96363636,21.58181818,24.32727273,,2021-11-26 21:00,21.09090909,21.96363636,21.58181818,24.32727273
2021-11-26 22:00,21.07272727,22.02727273,21.65454545,24.33636364,,2021-11-26 22:00,21.07272727,22.02727273,21.65454545,24.33636364
2021-11-26 23:00,21.03636364,21.88181818,21.69090909,24.32727273,,2021-11-26 23:00,21.03636364,21.88181818,21.69090909,24.32727273
2021-11-27 0:00,20.99090909,21.87272727,21.67272727,24.32727273,,2021-11-27 0:00,20.99090909,21.87272727,21.67272727,24.32727273
