10CM 정시 토양수분(%),20CM 정시 토양수분(%),30CM 정시 토양수분(%),50CM 정시 토양수분(%),일자,smart_farm.shield_light_h,smart_farm.shield_tmperature_h,smart_farm.shield_energy_h,smart_farm.shield_energy_v,smart_farm.exhaust_fan,smart_farm.ceiling,smart_farm.floating_fan,smart_farm.fan_coil_b_site,smart_farm.ventilation_temperature_control,smart_farm.heating_temperature_set_up,smart_farm.heat_supply
21.4,22.19090909,21.8,24.37272727,2021-11-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,28.0,18.0,0.7799999999999998
21.32727273,22.17272727,21.9,24.38181818,2021-11-26 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65,28.0,18.0,0.8116666666666666
21.28181818,22.12727273,21.74545455,24.37272727,2021-11-26 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6833333333333333,28.0,18.0,0.7499999999999999
21.22727273,22.10909091,21.71818182,24.37272727,2021-11-26 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,28.0,18.0,0.7666666666666667
21.16363636,22.07272727,21.7,24.36363636,2021-11-26 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7833333333333333,28.0,18.0,0.5166666666666668
21.1,22.06363636,21.68181818,24.36363636,2021-11-26 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28.0,18.169999999999998,0.6750000000000002
21.04545455,22.05454545,21.69090909,24.36363636,2021-11-26 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.925,19.08333333333333,0.4583333333333333
20.99090909,22.03636364,21.6,24.36363636,2021-11-26 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,20.08333333333333,0.5066666666666667
20.93636364,22.00909091,21.54545455,24.35454545,2021-11-26 08:00:00,46.5,57.93333333333333,0.0,5.416666666666667,0.0,0.0,1.0,0.4666666666666667,27.0,20.575,0.21833333333333335
20.94545455,22.01818182,21.52727273,24.35454545,2021-11-26 09:00:00,100.0,100.0,15.966666666666667,99.61666666666666,0.0,5.6,1.0,0.0,27.0,20.0,0.09999999999999996
20.92727273,22.15454545,21.59090909,24.35454545,2021-11-26 10:00:00,100.0,100.0,100.0,100.0,0.5166666666666667,29.05,0.75,0.0,28.603333333333335,20.0,0.09999999999999996
20.97272727,22.07272727,21.55454545,24.37272727,2021-11-26 11:00:00,100.0,100.0,100.0,100.0,0.6166666666666667,25.416666666666668,0.9833333333333333,0.0,30.0,20.0,0.09999999999999996
21.03636364,22.03636364,21.55454545,24.37272727,2021-11-26 12:00:00,100.0,100.0,100.0,100.0,0.7166666666666667,27.6,0.95,0.0,30.0,20.0,0.09999999999999996
21.03636364,22.04545455,21.51818182,24.35454545,2021-11-26 13:00:00,100.0,100.0,100.0,100.0,0.9833333333333333,54.166666666666664,1.0,0.0,30.0,20.0,0.09999999999999996
21.10909091,22.05454545,21.51818182,24.35454545,2021-11-26 14:00:00,100.0,100.0,99.90316455696204,100.0,0.9677215189873417,58.08016877637131,0.6,0.0,30.0,19.990316455696203,0.07666666666666666
21.06363636,22.06363636,21.51818182,24.35454545,2021-11-26 15:00:00,100.0,100.0,98.19620253164554,100.0,0.39873417721518983,57.80379746835443,0.0,0.0,30.0,19.819620253164555,0.0
21.08181818,22.02727273,21.58181818,24.36363636,2021-11-26 16:00:00,99.06666666666666,100.0,13.26729957805907,74.75,0.1668776371308017,6.282700421940929,0.9333333333333333,0.0,29.245,19.875063291139234,0.0
21.05454545,22.09090909,21.56363636,24.32727273,2021-11-26 17:00:00,12.8,100.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.13333333333333333,27.256666666666668,18.449999999999996,0.6516666666666667
21.06363636,22.01818182,21.55454545,24.32727273,2021-11-26 18:00:00,0.0,43.46666666666667,0.0,0.0,0.0,0.0,1.0,0.03333333333333333,28.0,16.45,0.1766666666666667
21.08181818,21.90909091,21.54545455,24.33636364,2021-11-26 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36666666666666664,28.0,15.05,0.7650000000000001
21.08181818,22.05454545,21.58181818,24.32727273,2021-11-26 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,28.0,15.599999999999998,1.1733333333333331
21.09090909,21.96363636,21.58181818,24.32727273,2021-11-26 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.95,28.0,17.475,0.7883333333333333
21.07272727,22.02727273,21.65454545,24.33636364,2021-11-26 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.85,28.0,18.0,0.5166666666666668
21.03636364,21.88181818,21.69090909,24.32727273,2021-11-26 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9166666666666666,28.0,18.0,0.635
20.99090909,21.87272727,21.67272727,24.32727273,2021-11-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8666666666666667,28.0,18.0,0.67
20.91818182,22.0,21.63636364,24.32727273,2021-11-27 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.95,28.0,18.0,0.7283333333333334
