yy,mm,dd,heat_supply_day1,heat_supply_day2
2022,3,4,364.9079952226256,354.7922474902959
2022,3,5,364.5935670024612,354.7922474902959
2022,3,6,364.9079952226256,354.7922474902959
2022,3,7,365.33630986328404,357.65188556162406
2022,3,8,365.33630986328404,357.65188556162406
2022,3,9,364.9079952226256,354.7922474902959
2022,3,10,364.5935670024612,354.7922474902959
2022,3,11,364.5935670024612,354.7922474902959
2022,3,12,364.5935670024612,354.7922474902959
2022,3,13,364.5935670024612,354.7922474902959
2022,3,18,364.9079952226256,354.7922474902959
2022,3,19,364.9079952226256,354.7922474902959
2022,3,20,364.5935670024612,354.7922474902959
