YearMonthDayHourMinute,STN,UV
202206010000,13,-7.846105645147531e-06
202206010000,105,-6.7633364857411515e-06
202206010000,108,-7.846105645147531e-06
202206010000,112,-6.7633364857411515e-06
202206010000,115,-6.979206132173048e-06
202206010000,131,-6.7633364857411515e-06
202206010000,132,-6.7633364857411515e-06
202206010000,133,-6.7633364857411515e-06
202206010000,138,-5.8964369727666595e-06
202206010000,143,-6.7633364857411515e-06
202206010000,146,-6.7633364857411515e-06
202206010000,152,-6.979206132173048e-06
202206010000,156,-7.846105645147531e-06
202206010000,159,-7.112887045040859e-07
202206010000,165,-4.95419058072186e-07
202206010010,13,-7.846105645147531e-06
202206010010,105,-6.7633364857411515e-06
202206010010,108,-7.846105645147531e-06
202206010010,112,-6.7633364857411515e-06
202206010010,115,-6.979206132173048e-06
202206010010,131,-6.7633364857411515e-06
202206010010,132,-6.7633364857411515e-06
202206010010,133,-6.7633364857411515e-06
202206010010,138,-5.8964369727666595e-06
202206010010,143,-6.7633364857411515e-06
202206010010,146,-6.7633364857411515e-06
202206010010,152,-6.979206132173048e-06
202206010010,156,-7.846105645147531e-06
202206010010,159,-7.112887045040859e-07
202206010010,165,-4.95419058072186e-07
202206010020,13,-7.846105645147531e-06
202206010020,105,-6.7633364857411515e-06
202206010020,108,-7.846105645147531e-06
202206010020,112,-6.7633364857411515e-06
202206010020,115,-6.979206132173048e-06
202206010020,131,-6.7633364857411515e-06
202206010020,132,-6.7633364857411515e-06
202206010020,133,-6.7633364857411515e-06
202206010020,138,-5.8964369727666595e-06
202206010020,143,-6.7633364857411515e-06
202206010020,146,-6.7633364857411515e-06
202206010020,152,-6.979206132173048e-06
202206010020,156,-7.846105645147531e-06
202206010020,159,-7.112887045040859e-07
202206010020,165,-4.95419058072186e-07
202206010030,13,-7.846105645147531e-06
202206010030,105,-6.7633364857411515e-06
202206010030,108,-7.846105645147531e-06
202206010030,112,-6.7633364857411515e-06
202206010030,115,-6.979206132173048e-06
202206010030,131,-6.7633364857411515e-06
202206010030,132,-6.7633364857411515e-06
202206010030,133,-6.7633364857411515e-06
202206010030,138,-5.8964369727666595e-06
202206010030,143,-6.7633364857411515e-06
202206010030,146,-6.7633364857411515e-06
202206010030,152,-6.979206132173048e-06
202206010030,156,-7.846105645147531e-06
202206010030,159,-7.112887045040859e-07
202206010030,165,-4.95419058072186e-07
202206010040,13,-7.846105645147531e-06
202206010040,105,-6.7633364857411515e-06
202206010040,108,-7.846105645147531e-06
202206010040,112,-6.7633364857411515e-06
202206010040,115,-6.979206132173048e-06
202206010040,131,-6.7633364857411515e-06
202206010040,132,-6.7633364857411515e-06
202206010040,133,-6.7633364857411515e-06
202206010040,138,-5.8964369727666595e-06
202206010040,143,-6.7633364857411515e-06
202206010040,146,-6.7633364857411515e-06
202206010040,152,-6.979206132173048e-06
202206010040,156,-7.846105645147531e-06
202206010040,159,-7.112887045040859e-07
202206010040,165,-4.95419058072186e-07
202206010050,13,-7.846105645147531e-06
202206010050,105,-6.7633364857411515e-06
202206010050,108,-7.846105645147531e-06
202206010050,112,-6.7633364857411515e-06
202206010050,115,-6.979206132173048e-06
202206010050,131,-6.7633364857411515e-06
202206010050,132,-6.7633364857411515e-06
202206010050,133,-6.7633364857411515e-06
202206010050,138,-5.8964369727666595e-06
202206010050,143,-6.7633364857411515e-06
202206010050,146,-6.7633364857411515e-06
202206010050,152,-6.979206132173048e-06
202206010050,156,-7.846105645147531e-06
202206010050,159,-7.112887045040859e-07
202206010050,165,-4.95419058072186e-07
202206010100,13,-7.846105645147531e-06
202206010100,105,-6.7633364857411515e-06
202206010100,108,-7.846105645147531e-06
202206010100,112,-6.7633364857411515e-06
202206010100,115,-6.979206132173048e-06
202206010100,131,-6.7633364857411515e-06
202206010100,132,-6.7633364857411515e-06
202206010100,133,-6.7633364857411515e-06
202206010100,138,-5.8964369727666595e-06
202206010100,143,-6.7633364857411515e-06
202206010100,146,-6.7633364857411515e-06
202206010100,152,-6.979206132173048e-06
202206010100,156,-7.846105645147531e-06
202206010100,159,-7.112887045040859e-07
202206010100,165,-4.95419058072186e-07
202206010110,13,-7.846105645147531e-06
202206010110,105,-6.7633364857411515e-06
202206010110,108,-7.846105645147531e-06
202206010110,112,-6.7633364857411515e-06
202206010110,115,-6.979206132173048e-06
202206010110,131,-6.7633364857411515e-06
202206010110,132,-6.7633364857411515e-06
202206010110,133,-6.7633364857411515e-06
202206010110,138,-5.8964369727666595e-06
202206010110,143,-6.7633364857411515e-06
