YearMonthDayHourMinute,STN,UV
202206010000,13,6.232414
202206010000,105,6.903062
202206010000,108,5.7123423
202206010000,112,6.644337
202206010000,115,6.773254
202206010000,131,6.7813306
202206010000,132,6.763402
202206010000,133,6.4320903
202206010000,138,5.7845974
202206010000,143,6.076762
202206010000,146,5.2869587
202206010000,152,6.5066648
202206010000,156,6.0294538
202206010000,159,7.1184645
202206010000,165,5.8785024
202206010010,13,6.2337275
202206010010,105,6.9194145
202206010010,108,5.7654977
202206010010,112,6.640942
202206010010,115,6.7659683
202206010010,131,6.7717285
202206010010,132,6.7872577
202206010010,133,6.4320903
202206010010,138,5.777312
202206010010,143,6.0829735
202206010010,146,5.293978
202206010010,152,6.477752
202206010010,156,6.0294538
202206010010,159,7.1079545
202206010010,165,5.885788
202206010020,13,6.1902733
202206010020,105,6.649278
202206010020,108,5.360544
202206010020,112,6.363306
202206010020,115,6.4385266
202206010020,131,6.5365105
202206010020,132,6.5858808
202206010020,133,6.1660156
202206010020,138,5.4340205
202206010020,143,5.765604
202206010020,146,5.09238
202206010020,152,6.379819
202206010020,156,5.8380337
202206010020,159,6.954391
202206010020,165,5.7172294
202206010030,13,6.2337275
202206010030,105,6.8426423
202206010030,108,5.721435
202206010030,112,6.725142
202206010030,115,6.826918
202206010030,131,6.7814274
202206010030,132,6.8135085
202206010030,133,6.4248047
202206010030,138,5.7845974
202206010030,143,6.090372
202206010030,146,5.3475223
202206010030,152,6.459119
202206010030,156,6.0421753
202206010030,159,7.106006
202206010030,165,5.9229145
202206010040,13,6.2337275
202206010040,105,6.8663626
202206010040,108,5.8203573
202206010040,112,6.6491985
202206010040,115,6.8512154
202206010040,131,6.7771115
202206010040,132,6.765529
202206010040,133,6.4483323
202206010040,138,5.839903
202206010040,143,6.0768704
202206010040,146,5.314017
202206010040,152,6.459385
202206010040,156,6.031531
202206010040,159,7.0981636
202206010040,165,5.9634366
202206010050,13,6.2429237
202206010050,105,6.8493533
202206010050,108,5.7308536
202206010050,112,6.78799
202206010050,115,6.8342037
202206010050,131,6.8314195
202206010050,132,6.7312493
202206010050,133,6.509396
202206010050,138,5.8006606
202206010050,143,5.9881845
202206010050,146,5.312049
202206010050,152,6.4666705
202206010050,156,6.0421753
202206010050,159,7.106006
202206010050,165,5.9785504
202206010100,13,6.235638
202206010100,105,6.8493533
202206010100,108,5.9024467
202206010100,112,6.774029
202206010100,115,6.841887
202206010100,131,6.8352056
202206010100,132,6.7312493
202206010100,133,6.504256
202206010100,138,5.745202
202206010100,143,5.9892473
202206010100,146,5.3424172
202206010100,152,6.456372
202206010100,156,6.0438943
202206010100,159,7.106006
202206010100,165,5.97914
202206010110,13,6.241013
202206010110,105,6.8663626
202206010110,108,5.902733
202206010110,112,6.758529
202206010110,115,6.826918
202206010110,131,6.7578998
202206010110,132,6.730787
202206010110,133,6.5178986
202206010110,138,5.738393
202206010110,143,6.012678
202206010110,146,5.275192
202206010110,152,6.4754586
202206010110,156,6.0437083
202206010110,159,7.1079545
202206010110,165,5.959301
202206010120,13,6.2483554
202206010120,105,6.849928
202206010120,108,5.887005
202206010120,112,6.7633967
202206010120,115,6.7721577
202206010120,131,6.7813306
202206010120,132,6.707445
202206010120,133,6.4940658
202206010120,138,5.731107
202206010120,143,5.9661226
202206010120,146,5.314017
202206010120,152,6.461462
202206010120,156,6.076849
202206010120,159,7.1144567
202206010120,165,5.960141
202206010130,13,6.230817
202206010130,105,6.849928
202206010130,108,5.879372
202206010130,112,6.773642
202206010130,115,6.8342037
202206010130,131,6.7469273
202206010130,132,6.7116604
202206010130,133,6.5021105
202206010130,138,5.7341204
202206010130,143,5.9522786
202206010130,146,5.2824774
202206010130,152,6.4666705
202206010130,156,6.0833907
202206010130,159,7.1358676
202206010130,165,5.967427
202206010140,13,6.2589884
202206010140,105,6.8385973
202206010140,108,5.8720865
202206010140,112,6.764516
202206010140,115,6.826918
202206010140,131,6.742866
202206010140,132,6.716199
202206010140,133,6.516709
202206010140,138,5.74114
202206010140,143,5.978275
202206010140,146,5.2869587
202206010140,152,6.459385
202206010140,156,6.155511
202206010140,159,7.143153
202206010140,165,5.9285874
202206010150,13,6.266274
202206010150,105,6.832817
202206010150,108,5.8762164
202206010150,112,6.7718034
202206010150,115,6.8712173
202206010150,131,6.7195244
202206010150,132,6.7089133
202206010150,133,6.5039377
202206010150,138,5.7338543
202206010150,143,5.9658566
202206010150,146,5.291231
202206010150,152,6.459385
202206010150,156,6.155511
202206010150,159,7.209218
202206010150,165,5.9259434
202206010200,13,6.2589884
202206010200,105,6.8368783
202206010200,108,5.8701406
202206010200,112,6.756928
202206010200,115,6.83043
202206010200,131,6.728278
202206010200,132,6.7089133
202206010200,133,6.5021105
202206010200,138,5.7341204
202206010200,143,5.9631095
202206010200,146,5.2839456
202206010200,152,6.4664044
202206010200,156,6.130683
202206010200,159,7.1071143
202206010200,165,5.910589
202206010210,13,6.268727
202206010210,105,6.8295927
202206010210,108,5.887005
202206010210,112,6.77314
202206010210,115,6.855923
202206010210,131,6.738311
202206010210,132,6.716199
202206010210,133,6.5021105
202206010210,138,5.731107
202206010210,143,5.9631095
202206010210,146,5.291231
202206010210,152,6.459385
202206010210,156,6.1379685
202206010210,159,7.0998287
202206010210,165,5.9600687
202206010220,13,6.273883
202206010220,105,6.8265796
202206010220,108,5.887005
202206010220,112,6.7718744
202206010220,115,6.8231444
202206010220,131,6.728278
202206010220,132,6.6958275
202206010220,133,6.413832
202206010220,138,5.738393
202206010220,143,5.9631095
202206010220,146,5.293978
202206010220,152,6.461462
202206010220,156,6.130683
202206010220,159,7.1079545
202206010220,165,5.9520154
202206010230,13,6.2589884
202206010230,105,6.8191104
202206010230,108,5.894788
202206010230,112,6.772611
202206010230,115,6.855923
202206010230,131,6.7355638
202206010230,132,6.688595
202206010230,133,6.4083962
202206010230,138,5.738393
202206010230,143,5.955824
202206010230,146,5.291231
202206010230,152,6.4713974
202206010230,156,6.075045
202206010230,159,7.1079545
202206010230,165,5.9310403
202206010240,13,6.2534604
202206010240,105,6.8268456
202206010240,108,5.9022
202206010240,112,6.782413
202206010240,115,6.851236
202206010240,131,6.7355638
202206010240,132,6.6909256
202206010240,133,6.4131184
202206010240,138,5.738393
202206010240,143,5.9631095
202206010240,146,5.2839456
202206010240,152,6.477832
202206010240,156,6.0720816
202206010240,159,7.11524
202206010240,165,5.913176
202206010250,13,6.2414184
202206010250,105,6.8341312
202206010250,108,5.907173
202206010250,112,6.694244
202206010250,115,6.8512154
202206010250,131,6.728278
202206010250,132,6.7119265
202206010250,133,6.42067
202206010250,138,5.731107
202206010250,143,5.9631095
202206010250,146,5.2839456
202206010250,152,6.4639235
202206010250,156,6.038114
202206010250,159,7.1056113
202206010250,165,5.885788
202206010300,13,6.2396994
202206010300,105,6.8344226
202206010300,108,5.705219
202206010300,112,6.54438
202206010300,115,6.7973213
202206010300,131,6.7355638
202206010300,132,6.803956
202206010300,133,6.4024687
202206010300,138,5.731107
202206010300,143,5.955824
202206010300,146,5.2839456
202206010300,152,6.456372
202206010300,156,6.0421753
202206010300,159,7.1056113
202206010300,165,5.885788
202206010310,13,6.2337275
202206010310,105,6.827137
202206010310,108,5.6511116
202206010310,112,6.54438
202206010310,115,6.857601
202206010310,131,6.7309794
202206010310,132,6.803956
202206010310,133,6.420404
202206010310,138,5.731107
202206010310,143,5.9631095
202206010310,146,5.293978
202206010310,152,6.4666705
202206010310,156,6.0421753
202206010310,159,7.0987206
202206010310,165,5.8785024
202206010320,13,6.238936
202206010320,105,6.8344226
202206010320,108,5.565131
202206010320,112,6.4888926
202206010320,115,6.851561
202206010320,131,6.7047086
202206010320,132,6.8174243
202206010320,133,6.420404
202206010320,138,5.731107
202206010320,143,5.955824
202206010320,146,5.293978
202206010320,152,6.4639235
202206010320,156,6.0348897
202206010320,159,7.106006
202206010320,165,5.8785024
202206010330,13,6.2337275
202206010330,105,6.8371696
202206010330,108,5.5857615
202206010330,112,6.4830666
202206010330,115,6.8342037
202206010330,131,6.715648
202206010330,132,6.929593
202206010330,133,6.4097543
202206010330,138,5.738393
202206010330,143,5.9631095
202206010330,146,5.2866926
202206010330,152,6.456638
202206010330,156,6.0348897
202206010330,159,7.0987206
202206010330,165,5.893479
