YearMonthDayHourMinute,STN,UV
202206010000,13,6.1389318
202206010000,105,6.573626
202206010000,108,5.656652
202206010000,112,6.25232
202206010000,115,6.4067073
202206010000,131,6.3830748
202206010000,132,6.4437094
202206010000,133,6.067096
202206010000,138,5.5423555
202206010000,143,5.8053036
202206010000,146,5.3039613
202206010000,152,6.2168503
202206010000,156,5.7520027
202206010000,159,6.812014
202206010000,165,5.6246266
202206010010,13,6.1202097
202206010010,105,6.5824685
202206010010,108,5.722184
202206010010,112,6.255994
202206010010,115,6.4067073
202206010010,131,6.3700676
202206010010,132,6.4458222
202206010010,133,6.067096
202206010010,138,5.522558
202206010010,143,5.723655
202206010010,146,5.3039613
202206010010,152,6.2149663
202206010010,156,5.7520027
202206010010,159,6.817447
202206010010,165,5.6380706
202206010020,13,5.8404274
202206010020,105,6.231075
202206010020,108,5.1898694
202206010020,112,5.7610254
202206010020,115,6.013999
202206010020,131,6.0198326
202206010020,132,6.071087
202206010020,133,5.682099
202206010020,138,5.1033363
202206010020,143,5.324993
202206010020,146,4.9248557
202206010020,152,5.9408255
202206010020,156,5.3910255
202206010020,159,6.4714518
202206010020,165,5.241219
202206010030,13,6.1389318
202206010030,105,6.5099053
202206010030,108,5.7063065
202206010030,112,6.2792325
202206010030,115,6.4814544
202206010030,131,6.3898644
202206010030,132,6.511215
202206010030,133,6.067096
202206010030,138,5.5423555
202206010030,143,5.8449106
202206010030,146,5.2893205
202206010030,152,6.218288
202206010030,156,5.7667933
202206010030,159,6.7838883
202206010030,165,5.5948853
202206010040,13,6.1389318
202206010040,105,6.510268
202206010040,108,5.7364407
202206010040,112,6.236197
202206010040,115,6.520552
202206010040,131,6.415777
202206010040,132,6.426125
202206010040,133,6.074074
202206010040,138,5.595614
202206010040,143,5.7985034
202206010040,146,5.2843785
202206010040,152,6.22763
202206010040,156,5.751795
202206010040,159,6.7585487
202206010040,165,5.677408
202206010050,13,6.1389318
202206010050,105,6.5099053
202206010050,108,5.698118
202206010050,112,6.31034
202206010050,115,6.5094213
202206010050,131,6.499025
202206010050,132,6.4072857
202206010050,133,6.1211586
202206010050,138,5.543668
202206010050,143,5.6658926
202206010050,146,5.245859
202206010050,152,6.22763
202206010050,156,5.765084
202206010050,159,6.7584577
202206010050,165,5.731485
202206010100,13,6.1389318
202206010100,105,6.4904714
202206010100,108,5.734992
202206010100,112,6.325202
202206010100,115,6.4896245
202206010100,131,6.4667068
202206010100,132,6.387489
202206010100,133,6.170171
202206010100,138,5.5577655
202206010100,143,5.6658926
202206010100,146,5.2893205
202206010100,152,6.171286
202206010100,156,5.746996
202206010100,159,6.8000183
202206010100,165,5.6660585
202206010110,13,6.1389318
202206010110,105,6.510268
202206010110,108,5.768284
202206010110,112,6.3024693
202206010110,115,6.5094213
202206010110,131,6.3830748
202206010110,132,6.4532247
202206010110,133,6.144666
202206010110,138,5.4895415
202206010110,143,5.685689
202206010110,146,5.297231
202206010110,152,6.2606034
202206010110,156,5.7204914
202206010110,159,6.797651
202206010110,165,5.644173
202206010120,13,6.09263
202206010120,105,6.510268
202206010120,108,5.767938
202206010120,112,6.3024693
202206010120,115,6.4190645
202206010120,131,6.3830748
202206010120,132,6.431091
202206010120,133,6.1434236
202206010120,138,5.5436935
202206010120,143,5.7052717
202206010120,146,5.2843785
202206010120,152,6.245605
202206010120,156,5.733574
202206010120,159,6.786144
202206010120,165,5.624376
202206010130,13,6.09263
202206010130,105,6.5099053
202206010130,108,5.767938
202206010130,112,6.3024693
202206010130,115,6.474153
202206010130,131,6.4290137
202206010130,132,6.396056
202206010130,133,6.1211586
202206010130,138,5.544861
202206010130,143,5.718548
202206010130,146,5.321936
202206010130,152,6.22763
202206010130,156,5.7139645
202206010130,159,6.7885046
202206010130,165,5.644173
202206010140,13,6.0809736
202206010140,105,6.534612
202206010140,108,5.7481413
202206010140,112,6.2826724
202206010140,115,6.50019
202206010140,131,6.4293766
202206010140,132,6.3927264
202206010140,133,6.1273007
202206010140,138,5.527433
202206010140,143,5.6931095
202206010140,146,5.3039613
202206010140,152,6.2458134
202206010140,156,5.7722235
202206010140,159,6.808302
202206010140,165,5.6048512
202206010150,13,6.0955586
202206010150,105,6.5348206
202206010150,108,5.72878
202206010150,112,6.30584
202206010150,115,6.5525208
202206010150,131,6.40688
202206010150,132,6.374246
202206010150,133,6.1799107
202206010150,138,5.544861
202206010150,143,5.7052717
202206010150,146,5.302794
202206010150,152,6.2458134
202206010150,156,5.7722235
202206010150,159,6.832345
202206010150,165,5.5967107
202206010200,13,6.075762
202206010200,105,6.5348206
202206010200,108,5.7467213
202206010200,112,6.280817
202206010200,115,6.5941825
202206010200,131,6.3520484
202206010200,132,6.3927264
202206010200,133,6.1013613
202206010200,138,5.5630445
202206010200,143,5.6937313
202206010200,146,5.2875485
202206010200,152,6.22763
202206010200,156,5.7699537
202206010200,159,6.8324456
202206010200,165,5.5719714
202206010210,13,6.1014
202206010210,105,6.5348206
202206010210,108,5.7466316
202206010210,112,6.323346
202206010210,115,6.5941825
202206010210,131,6.3938127
202206010210,132,6.374246
202206010210,133,6.0921297
202206010210,138,5.5136228
202206010210,143,5.6896877
202206010210,146,5.2852287
202206010210,152,6.245605
202206010210,156,5.7699537
202206010210,159,6.81094
202206010210,165,5.6229463
202206010220,13,6.09263
202206010220,105,6.5325007
202206010220,108,5.7466316
202206010220,112,6.3039846
202206010220,115,6.5941825
202206010220,131,6.3399515
202206010220,132,6.374246
202206010220,133,6.113035
202206010220,138,5.5136228
202206010220,143,5.6896877
202206010220,146,5.2990537
202206010220,152,6.225808
202206010220,156,5.760231
202206010220,159,6.8126493
202206010220,165,5.624376
202206010230,13,6.075762
202206010230,105,6.554717
202206010230,108,5.7423277
202206010230,112,6.277933
202206010230,115,6.586685
202206010230,131,6.3597484
202206010230,132,6.3925505
202206010230,133,6.071104
202206010230,138,5.544861
202206010230,143,5.651411
202206010230,146,5.2990537
202206010230,152,6.2606034
202206010230,156,5.7254333
202206010230,159,6.8126493
202206010230,165,5.5948853
202206010240,13,6.09263
202206010240,105,6.554717
202206010240,108,5.7427635
202206010240,112,6.29773
202206010240,115,6.5525208
202206010240,131,6.3782287
202206010240,132,6.39382
202206010240,133,6.0476503
202206010240,138,5.5034823
202206010240,143,5.6896877
202206010240,146,5.2852287
202206010240,152,6.2143016
202206010240,156,5.7204914
202206010240,159,6.812014
202206010240,165,5.6048512
202206010250,13,6.09263
202206010250,105,6.5348206
202206010250,108,5.7429266
202206010250,112,6.2615952
202206010250,115,6.520552
202206010250,131,6.3943586
202206010250,132,6.3995433
202206010250,133,6.0911093
202206010250,138,5.469745
202206010250,143,5.6712074
202206010250,146,5.297315
202206010250,152,6.2475266
202206010250,156,5.7667933
202206010250,159,6.7726536
202206010250,165,5.6380706
202206010300,13,6.1389318
202206010300,105,6.5766425
202206010300,108,5.6270747
202206010300,112,6.128212
202206010300,115,6.425717
202206010300,131,6.3782287
202206010300,132,6.43206
202206010300,133,6.05247
202206010300,138,5.469745
202206010300,143,5.6698914
202206010300,146,5.302794
202206010300,152,6.2293434
202206010300,156,5.7667933
202206010300,159,6.7705545
202206010300,165,5.6380706
202206010310,13,6.1174254
202206010310,105,6.5766425
