YearMonthDayHourMinute,STN,UV
202206010000,13,5.0176854
202206010000,105,5.824683
202206010000,108,4.4117804
202206010000,112,5.8566165
202206010000,115,5.993932
202206010000,131,5.658519
202206010000,132,6.1710277
202206010000,133,5.4263062
202206010000,138,4.793791
202206010000,143,4.510336
202206010000,146,3.916398
202206010000,152,5.3440685
202206010000,156,4.9289484
202206010000,159,4.8133297
202206010000,165,4.5735435
202206010010,13,5.0203
202206010010,105,5.8139634
202206010010,108,4.382912
202206010010,112,5.7937036
202206010010,115,5.993932
202206010010,131,5.7602477
202206010010,132,6.148149
202206010010,133,5.443493
202206010010,138,4.793791
202206010010,143,4.5428224
202206010010,146,3.9129915
202206010010,152,5.217777
202206010010,156,4.9289484
202206010010,159,4.7968936
202206010010,165,4.568805
202206010020,13,5.024677
202206010020,105,5.81635
202206010020,108,4.36719
202206010020,112,5.8440604
202206010020,115,5.9538145
202206010020,131,5.665747
202206010020,132,5.993642
202206010020,133,5.4683647
202206010020,138,4.7322493
202206010020,143,4.4968815
202206010020,146,3.9324293
202206010020,152,5.192501
202206010020,156,4.9594903
202206010020,159,4.755503
202206010020,165,4.5890403
202206010030,13,5.0144997
202206010030,105,5.807488
202206010030,108,4.370609
202206010030,112,5.8233843
202206010030,115,6.106123
202206010030,131,5.784375
202206010030,132,6.105434
202206010030,133,5.4511127
202206010030,138,4.7512035
202206010030,143,4.757007
202206010030,146,3.9849958
202206010030,152,5.171208
202206010030,156,4.926203
202206010030,159,4.7554283
202206010030,165,4.570079
202206010040,13,5.018767
202206010040,105,5.7898984
202206010040,108,4.405976
202206010040,112,5.8532205
202206010040,115,6.1535525
202206010040,131,5.768296
202206010040,132,6.1467223
202206010040,133,5.5663333
202206010040,138,4.8965597
202206010040,143,4.5612326
202206010040,146,3.9092655
202206010040,152,5.195402
202206010040,156,4.9186974
202206010040,159,4.759587
202206010040,165,4.5464177
202206010050,13,5.060691
202206010050,105,5.8065495
202206010050,108,4.3462763
202206010050,112,5.8439784
202206010050,115,6.142456
202206010050,131,5.6932564
202206010050,132,5.982455
202206010050,133,5.535815
202206010050,138,4.87291
202206010050,143,4.485096
202206010050,146,3.9107985
202206010050,152,5.190447
202206010050,156,4.924117
202206010050,159,4.7554283
202206010050,165,4.5231414
202206010100,13,5.0930567
202206010100,105,5.8156896
202206010100,108,4.3326325
202206010100,112,5.9825826
202206010100,115,6.1327133
202206010100,131,5.7613053
202206010100,132,5.984872
202206010100,133,5.4384656
202206010100,138,4.756016
202206010100,143,4.462329
202206010100,146,3.9198081
202206010100,152,5.1712265
202206010100,156,4.9513154
