YearMonthDayHourMinute,STN,UV
202206010000,13,4.014481
202206010000,105,5.0664115
202206010000,108,3.9609456
202206010000,112,4.7082763
202206010000,115,5.2187943
202206010000,131,4.892779
202206010000,132,4.7796164
202206010000,133,4.708396
202206010000,138,3.9457676
202206010000,143,3.8632765
202206010000,146,3.3316536
202206010000,152,4.3560205
202206010000,156,3.8772585
202206010000,159,3.9232638
202206010000,165,3.940556
202206010010,13,4.041777
202206010010,105,5.0479765
202206010010,108,4.0302763
202206010010,112,4.7289877
202206010010,115,5.169744
202206010010,131,4.9070506
202206010010,132,4.8026004
202206010010,133,4.6676435
202206010010,138,3.9085095
202206010010,143,3.853587
202206010010,146,3.3689258
202206010010,152,4.3364396
202206010010,156,3.8772585
202206010010,159,3.9438462
202206010010,165,3.9132602
202206010020,13,4.0429945
202206010020,105,5.0698833
202206010020,108,3.919456
202206010020,112,4.6058617
202206010020,115,5.186462
202206010020,131,4.9689107
202206010020,132,4.7872114
202206010020,133,4.677304
202206010020,138,3.9408996
202206010020,143,3.8790097
202206010020,146,3.3229067
202206010020,152,4.3473783
202206010020,156,3.8761637
202206010020,159,3.915502
202206010020,165,3.9417734
202206010030,13,4.014481
202206010030,105,5.0597634
202206010030,108,4.0200176
202206010030,112,4.7345424
202206010030,115,5.1752954
202206010030,131,4.96436
202206010030,132,4.885475
202206010030,133,4.6734476
202206010030,138,3.9662323
202206010030,143,3.9384785
202206010030,146,3.3096404
202206010030,152,4.3093295
202206010030,156,3.894702
202206010030,159,3.915502
202206010030,165,3.9141629
202206010040,13,4.0362678
202206010040,105,5.0597634
202206010040,108,4.045975
202206010040,112,4.741132
202206010040,115,5.186954
202206010040,131,4.956976
202206010040,132,4.7910366
202206010040,133,4.701633
202206010040,138,3.9354951
202206010040,143,3.915301
202206010040,146,3.3173442
202206010040,152,4.3364396
202206010040,156,3.8749464
202206010040,159,3.915502
202206010040,165,4.034552
202206010050,13,4.0517397
202206010050,105,5.0597634
202206010050,108,4.035497
202206010050,112,4.7307553
202206010050,115,5.188017
202206010050,131,4.9385743
202206010050,132,4.782502
202206010050,133,4.7584596
202206010050,138,3.8887854
202206010050,143,3.8422985
202206010050,146,3.3231342
202206010050,152,4.3378086
202206010050,156,3.8574438
202206010050,159,3.915502
202206010050,165,4.046122
202206010100,13,4.0259304
202206010100,105,5.0597634
202206010100,108,4.069782
202206010100,112,4.898282
202206010100,115,5.188017
202206010100,131,4.930753
202206010100,132,4.758393
202206010100,133,4.746623
202206010100,138,3.9313312
202206010100,143,3.8422985
202206010100,146,3.3150785
202206010100,152,4.3093295
202206010100,156,3.857739
202206010100,159,3.9302387
202206010100,165,4.047327
202206010110,13,4.014481
202206010110,105,5.053166
202206010110,108,4.2258015
202206010110,112,4.944378
202206010110,115,5.188017
202206010110,131,4.9077983
202206010110,132,4.788306
202206010110,133,4.7370896
202206010110,138,3.9401088
202206010110,143,3.849496
202206010110,146,3.3231342
202206010110,152,4.3378086
202206010110,156,3.896538
202206010110,159,3.942959
202206010110,165,3.9524646
202206010120,13,4.0259304
202206010120,105,5.108813
202206010120,108,4.1852565
202206010120,112,4.9213276
202206010120,115,5.173792
202206010120,131,4.904228
202206010120,132,4.837356
202206010120,133,4.7235646
202206010120,138,3.9175873
202206010120,143,3.8580096
202206010120,146,3.31733
202206010120,152,4.3378086
202206010120,156,3.8773391
202206010120,159,3.9519374
202206010120,165,3.9524646
202206010130,13,4.035531
202206010130,105,5.0597634
202206010130,108,4.216438
202206010130,112,4.9667864
202206010130,115,5.2113853
202206010130,131,4.9319987
202206010130,132,4.7872114
202206010130,133,4.7129297
202206010130,138,3.9299617
202206010130,143,3.868161
202206010130,146,3.3231342
202206010130,152,4.3465905
202206010130,156,3.8895373
202206010130,159,3.948045
202206010130,165,3.9635344
202206010140,13,4.056921
202206010140,105,5.0488834
202206010140,108,4.22607
202206010140,112,4.9225903
202206010140,115,5.170215
202206010140,131,4.9057302
202206010140,132,4.7872114
202206010140,133,4.7306614
202206010140,138,3.9028506
202206010140,143,3.856105
202206010140,146,3.331668
202206010140,152,4.3378086
202206010140,156,3.914186
202206010140,159,3.948045
202206010140,165,3.9270518
202206010150,13,4.0999355
202206010150,105,5.0488834
202206010150,108,4.2113748
202206010150,112,4.9757867
202206010150,115,5.208792
202206010150,131,4.9440546
202206010150,132,4.7872114
202206010150,133,4.7867603
202206010150,138,3.940113
202206010150,143,3.8580096
202206010150,146,3.331668
202206010150,152,4.3378086
202206010150,156,3.914186
202206010150,159,3.9480305
202206010150,165,3.922306
202206010200,13,4.0626774
202206010200,105,5.0737705
202206010200,108,4.214248
202206010200,112,4.919496
202206010200,115,5.1752167
202206010200,131,4.947911
202206010200,132,4.7872114
202206010200,133,4.7088284
202206010200,138,3.9313312
202206010200,143,3.8580096
202206010200,146,3.3220534
202206010200,152,4.3342166
202206010200,156,3.9227908
202206010200,159,3.9174256
202206010200,165,3.9464965
202206010210,13,4.094824
202206010210,105,5.0597634
202206010210,108,4.22607
202206010210,112,4.9107113
202206010210,115,5.196912
202206010210,131,4.947911
202206010210,132,4.7872114
202206010210,133,4.7129297
202206010210,138,3.9028506
202206010210,143,3.8952675
202206010210,146,3.3220534
202206010210,152,4.3378086
202206010210,156,3.954937
202206010210,159,3.9174256
202206010210,165,3.956916
202206010220,13,4.035531
202206010220,105,5.0597634
202206010220,108,4.215181
202206010220,112,4.9142118
202206010220,115,5.1752167
202206010220,131,4.947911
202206010220,132,4.7872114
202206010220,133,4.6963944
202206010220,138,3.9028506
202206010220,143,3.8580096
202206010220,146,3.331668
202206010220,152,4.317344
202206010220,156,3.8947816
202206010220,159,3.9174256
202206010220,165,3.9524646
202206010230,13,4.0617504
202206010230,105,5.0377936
202206010230,108,4.2133207
202206010230,112,4.894902
202206010230,115,5.208792
202206010230,131,4.996961
202206010230,132,4.7872114
202206010230,133,4.6963944
202206010230,138,3.9548454
