YearMonthDayHourMinute,STN,UV
202206010000,13,0.21504015
202206010000,105,0.21499202
202206010000,108,0.21499202
202206010000,112,0.21499202
202206010000,115,0.21499202
202206010000,131,0.21499202
202206010000,132,0.21499202
202206010000,133,0.21499202
202206010000,138,0.21499202
202206010000,143,0.21499202
202206010000,146,0.25977165
202206010000,152,0.21513891
202206010000,156,0.21513891
202206010000,159,0.21513891
202206010000,165,0.21513891
202206010010,13,0.21504015
202206010010,105,0.21499202
202206010010,108,0.21499202
202206010010,112,0.21499202
202206010010,115,0.21499202
202206010010,131,0.21499202
202206010010,132,0.21499202
202206010010,133,0.21499202
202206010010,138,0.21499202
202206010010,143,0.21499202
202206010010,146,0.25977165
202206010010,152,0.21513891
202206010010,156,0.21513891
202206010010,159,0.21513891
202206010010,165,0.21513891
202206010020,13,0.21504015
202206010020,105,0.21499202
202206010020,108,0.21499202
202206010020,112,0.21499202
202206010020,115,0.21499202
202206010020,131,0.21499202
202206010020,132,0.21499202
202206010020,133,0.21499202
202206010020,138,0.21499202
202206010020,143,0.21499202
202206010020,146,0.25977165
202206010020,152,0.21513891
202206010020,156,0.21513891
202206010020,159,0.21513891
202206010020,165,0.21513891
202206010030,13,0.21504015
202206010030,105,0.21499202
202206010030,108,0.21499202
202206010030,112,0.21499202
202206010030,115,0.21499202
202206010030,131,0.21499202
202206010030,132,0.21499202
202206010030,133,0.21499202
202206010030,138,0.21499202
202206010030,143,0.21499202
202206010030,146,0.25977165
202206010030,152,0.21513891
202206010030,156,0.21513891
202206010030,159,0.21513891
202206010030,165,0.21513891
202206010040,13,0.21504015
202206010040,105,0.21499202
202206010040,108,0.21499202
202206010040,112,0.21499202
202206010040,115,0.21499202
202206010040,131,0.21499202
202206010040,132,0.21499202
202206010040,133,0.21499202
202206010040,138,0.21499202
202206010040,143,0.21499202
202206010040,146,0.25977165
202206010040,152,0.21513891
202206010040,156,0.21513891
202206010040,159,0.21513891
202206010040,165,0.21513891
202206010050,13,0.21504015
