,0620_num,0620_ratio
0.0,28094,0.43739004530522646
0.1,2809,0.0437327770079868
0.2,1692,0.026342420326633555
0.3,1305,0.020317292273201414
0.4,1264,0.019678971213277077
0.5,964,0.015008329311391696
0.6,962,0.01497719169871246
0.7,779,0.012128100138562376
1.1,704,0.01096043966309103
0.8,681,0.010602357117279818
0.9,656,0.01021313695878937
1.0,634,0.009870623219317774
1.2,602,0.00937242141645
1.3,539,0.00839158661705407
1.8,535,0.008329311391695599
1.4,524,0.008158054521959801
1.6,523,0.008142485715620183
1.5,522,0.008126916909280565
1.7,498,0.007753265557129735
2.5,421,0.006554467468979154
2.1,403,0.006274228954866031
2.0,400,0.006227522535847177
2.4,395,0.006149678504149087
2.3,391,0.0060874032787906155
1.9,390,0.0060718344724509975
2.2,375,0.005838302377356728
3.2,356,0.005542495056903987
2.6,356,0.005542495056903987
2.8,350,0.005449082218866279
2.9,345,0.00537123818716819
3.0,336,0.005231118930111628
2.7,333,0.005184412511092774
3.1,330,0.005137706092073921
3.9,316,0.004919742803319269
4.2,297,0.004623935482866529
3.7,294,0.004577229063847675
3.3,290,0.004514953838489203
3.5,284,0.004421541000451496
3.6,284,0.004421541000451496
3.4,283,0.004405972194111878
4.1,272,0.00423471532437608
4.9,260,0.004047889648300665
4.4,259,0.004032320841961047
6.0,258,0.004016752035621429
4.6,257,0.004001183229281811
4.5,254,0.003954476810262957
5.3,253,0.00393890800392334
6.7,250,0.003892201584904485
5.1,245,0.0038143575532063956
6.1,244,0.0037987887468667776
5.4,241,0.003752082327847924
4.7,239,0.003720944715168688
5.7,235,0.003658669489810216
4.3,235,0.003658669489810216
5.0,234,0.0036431006834705985
5.2,233,0.0036275318771309805
4.0,233,0.0036275318771309805
3.8,232,0.0036119630707913625
7.3,232,0.0036119630707913625
4.8,226,0.003518550232753655
8.1,224,0.003487412620074419
7.4,224,0.003487412620074419
5.6,222,0.003456275007395183
6.2,222,0.003456275007395183
7.7,222,0.003456275007395183
7.0,220,0.003425137394715947
6.9,219,0.0034095685883763294
6.6,216,0.0033628621693574754
5.5,214,0.0033317245566782394
8.8,212,0.0033005869439990034
7.6,212,0.0033005869439990034
6.5,211,0.003285018137659386
6.8,211,0.003285018137659386
7.1,210,0.003269449331319768
6.3,208,0.003238311718640532
7.2,207,0.003222742912300914
6.4,202,0.0031448988806028243
7.5,196,0.0030514860425651163
5.9,195,0.0030359172362254988
5.8,195,0.0030359172362254988
7.9,194,0.0030203484298858808
7.8,191,0.0029736420108670268
8.5,188,0.002926935591848173
8.0,182,0.002833522753810465
8.3,178,0.0027712475284519937
8.2,176,0.0027401099157727577
8.4,176,0.0027401099157727577
8.6,176,0.0027401099157727577
9.0,167,0.002599990658716196
8.7,164,0.0025532842396973426
9.1,156,0.002428733788980399
9.2,156,0.002428733788980399
9.3,141,0.00219520169388613
9.5,136,0.00211735766218804
8.9,131,0.0020395136304899504
9.4,117,0.0018215503417352993
9.6,106,0.0016502934719995017
9.7,90,0.0014011925705656148
9.9,79,0.0012299357008298173
9.8,77,0.0011987980881505815
10.2,66,0.0010275412184147842
10.0,63,0.0009808347993959304
10.1,56,0.0008718531550186047
10.3,50,0.0007784403169808971
10.4,48,0.0007473027043016612
10.6,44,0.0006850274789431894
10.5,43,0.0006694586726035715
10.7,34,0.00052933941554701
10.8,28,0.00043592657750930237
10.9,26,0.0004047889648300665
11.0,22,0.0003425137394715947
11.2,22,0.0003425137394715947
11.3,16,0.00024910090143388705
11.1,12,0.0001868256760754153
11.8,9,0.00014011925705656147
11.4,8,0.00012455045071694352
11.6,8,0.00012455045071694352
11.9,7,0.00010898164437732559
11.7,7,0.00010898164437732559
12.0,6,9.341283803770765e-05
11.5,4,6.227522535847176e-05
12.1,4,6.227522535847176e-05
12.2,4,6.227522535847176e-05
12.8,3,4.6706419018853824e-05
12.4,2,3.113761267923588e-05
12.7,2,3.113761267923588e-05
12.9,2,3.113761267923588e-05
12.3,1,1.556880633961794e-05
12.6,1,1.556880633961794e-05
13.0,1,1.556880633961794e-05
13.1,1,1.556880633961794e-05
