YearMonthDayHourMinute,STN,UV
202206010000,13,4.296486296311743e-05
202206010000,105,3.564204893061461e-05
202206010000,108,2.890037160489413e-05
202206010000,112,3.1141211223504364e-05
202206010000,115,3.658486229136594e-05
202206010000,131,3.658486229136594e-05
202206010000,132,2.6966725791744605e-05
202206010000,133,3.444392817812863e-05
202206010000,138,3.788288854922486e-05
202206010000,143,3.2439237481363254e-05
202206010000,146,0.020135802224352642
202206010000,152,2.7734104290565857e-05
202206010000,156,3.7293045669305486e-05
202206010000,159,4.6621985415641934e-05
202206010000,165,4.704209592817715e-05
202206010010,13,4.729707946574731e-05
202206010010,105,2.8136898637133378e-05
202206010010,108,2.5213716619435925e-05
202206010010,112,3.1141211223504364e-05
202206010010,115,3.564204893061461e-05
202206010010,131,3.065736768729751e-05
202206010010,132,2.8264752049603496e-05
202206010010,133,3.195539394515641e-05
202206010010,138,3.788288854922486e-05
202206010010,143,2.890037160489413e-05
202206010010,146,0.02800110201747449
202206010010,152,4.682277102901314e-05
202206010010,156,4.137027863436523e-05
202206010010,159,5.0479893481537626e-05
202206010010,165,4.704209592817715e-05
202206010020,13,4.704209592817715e-05
202206010020,105,3.195539394515641e-05
202206010020,108,3.195539394515641e-05
202206010020,112,3.195539394515641e-05
202206010020,115,3.195539394515641e-05
202206010020,131,3.195539394515641e-05
202206010020,132,3.195539394515641e-05
202206010020,133,3.195539394515641e-05
202206010020,138,3.195539394515641e-05
202206010020,143,3.195539394515641e-05
202206010020,146,0.0250368938004549
202206010020,152,4.704209592817715e-05
202206010020,156,4.704209592817715e-05
202206010020,159,4.704209592817715e-05
202206010020,165,4.704209592817715e-05
202206010030,13,4.704209592817715e-05
202206010030,105,3.788288854922486e-05
202206010030,108,2.8313858228884435e-05
202206010030,112,2.9000277110267062e-05
202206010030,115,3.069811638925282e-05
202206010030,131,2.328007080628641e-05
202206010030,132,3.0134209924970324e-05
202206010030,133,3.4344022672755704e-05
202206010030,138,2.6136654023446757e-05
202206010030,143,2.5313622124808856e-05
202206010030,146,0.02078775998651848
202206010030,152,3.7293045669305486e-05
202206010030,156,5.0900003994072865e-05
202206010030,159,1.54280399495995e-05
202206010030,165,3.10156058449587e-05
202206010040,13,4.682277102901314e-05
202206010040,105,3.564204893061461e-05
202206010040,108,2.890037160489413e-05
202206010040,112,3.1141211223504364e-05
202206010040,115,2.890037160489413e-05
202206010040,131,2.9207565410354854e-05
202206010040,132,2.6966725791744605e-05
202206010040,133,2.629228344595148e-05
202206010040,138,3.1141211223504364e-05
202206010040,143,2.5213716619435925e-05
202206010040,146,0.03551727326585583
202206010040,152,4.115095373520122e-05
202206010040,156,4.704209592817715e-05
202206010040,159,2.3198054005589843e-05
202206010040,165,2.547699946134486e-05
202206010050,13,4.296486296311743e-05
202206010050,105,3.564204893061461e-05
202206010050,108,2.5213716619435925e-05
202206010050,112,3.1141211223504364e-05
202206010050,115,2.6124383402921796e-05
202206010050,131,2.890037160489413e-05
202206010050,132,3.429613906913959e-05
202206010050,133,2.5213716619435925e-05
202206010050,138,3.564204893061461e-05
202206010050,143,3.065736768729751e-05
202206010050,146,0.027744897855397552
202206010050,152,4.522818670026095e-05
202206010050,156,4.704209592817715e-05
202206010050,159,1.1350806984539703e-05
202206010050,165,2.547699946134486e-05
202206010100,13,4.783625683313112e-05
202206010100,105,3.564204893061461e-05
202206010100,108,2.5213716619435925e-05
202206010100,112,3.019839786275301e-05
202206010100,115,2.6124383402921796e-05
202206010100,131,2.8264752049603496e-05
202206010100,132,3.564204893061461e-05
202206010100,133,2.5213716619435925e-05
202206010100,138,3.195539394515641e-05
202206010100,143,3.4344022672755704e-05
202206010100,146,0.038558918535012525
