YearMonthDayHourMinute,STN,UV
202206010000,13,0.00076181657
202206010000,105,0.0023351528
202206010000,108,0.0014436992
202206010000,112,0.0012904304
202206010000,115,0.001758535
202206010000,131,0.0013848068
202206010000,132,0.0021358605
202206010000,133,0.0017286631
202206010000,138,0.002021691
202206010000,143,0.0024386442
202206010000,146,0.0018232962
202206010000,152,0.0020856203
202206010000,156,0.0016340676
202206010000,159,0.001558143
202206010000,165,0.0019374697
202206010010,13,0.00088219217
202206010010,105,0.0020016476
202206010010,108,0.0008797502
202206010010,112,0.0013368203
202206010010,115,0.0025626235
202206010010,131,0.0010386992
202206010010,132,0.0024897407
202206010010,133,0.0018968879
202206010010,138,0.002021691
202206010010,143,0.0018924227
202206010010,146,0.0017885505
202206010010,152,0.0018895381
202206010010,156,0.0019940306
202206010010,159,0.0018701971
202206010010,165,0.0018048759
202206010020,13,0.00088219217
202206010020,105,0.0020016476
202206010020,108,0.0008797502
202206010020,112,0.0013368203
202206010020,115,0.0025626235
202206010020,131,0.0010386992
202206010020,132,0.0024897407
202206010020,133,0.0018968879
202206010020,138,0.002021691
202206010020,143,0.0018924227
202206010020,146,0.0017885505
202206010020,152,0.0018895381
202206010020,156,0.001977222
202206010020,159,0.0018701971
202206010020,165,0.0017866961
202206010030,13,0.0008220388
202206010030,105,0.0026391358
202206010030,108,0.0024954567
202206010030,112,0.0012990542
202206010030,115,0.0021107194
202206010030,131,0.0010921896
202206010030,132,0.0010233765
202206010030,133,0.0018451465
202206010030,138,0.0024453474
202206010030,143,0.0015978316
202206010030,146,0.0016427395
202206010030,152,0.0014007227
202206010030,156,0.0024327515
202206010030,159,0.0018276464
202206010030,165,0.002158777
202206010040,13,0.0008526125
202206010040,105,0.0026145875
202206010040,108,0.0013620262
202206010040,112,0.001335255
202206010040,115,0.0017432355
202206010040,131,0.002073297
202206010040,132,0.0014664425
202206010040,133,0.0011320441
202206010040,138,0.0020619787
202206010040,143,0.0013176957
202206010040,146,0.0023742379
202206010040,152,0.001985365
202206010040,156,0.0018650813
202206010040,159,0.0026861238
202206010040,165,0.001433818
202206010050,13,0.0007050589
202206010050,105,0.0026391358
202206010050,108,0.0010593241
202206010050,112,0.0018042559
202206010050,115,0.0020217274
202206010050,131,0.0013282493
202206010050,132,0.0017915112
202206010050,133,0.001338618
202206010050,138,0.002930273
202206010050,143,0.0016533659
202206010050,146,0.0018880415
202206010050,152,0.0025932472
202206010050,156,0.0018650813
202206010050,159,0.0018266609
202206010050,165,0.0017675279
202206010100,13,0.0006485807
202206010100,105,0.0026104585
202206010100,108,0.0012792444
202206010100,112,0.002035289
202206010100,115,0.0018258686
202206010100,131,0.0024950735
202206010100,132,0.002182773
202206010100,133,0.00095498585
202206010100,138,0.0019572554
202206010100,143,0.0017541136
202206010100,146,0.0024362274
202206010100,152,0.001519145
202206010100,156,0.001360472
202206010100,159,0.002675511
202206010100,165,0.001068864
202206010110,13,0.00078284676
202206010110,105,0.001964843
202206010110,108,0.0014105269
202206010110,112,0.0014317409
202206010110,115,0.0026623665
202206010110,131,0.0014076765
202206010110,132,0.0025398973
202206010110,133,0.00096127205
202206010110,138,0.0015151477
202206010110,143,0.0014102571
202206010110,146,0.0015383416
202206010110,152,0.0015271916
202206010110,156,0.0012134614
202206010110,159,0.0015541457
202206010110,165,0.0008896758
202206010120,13,0.0009584394
202206010120,105,0.002016956
202206010120,108,0.001458894
202206010120,112,0.0020600068
202206010120,115,0.0016089389
202206010120,131,0.0018574101
202206010120,132,0.0025734142
202206010120,133,0.0013715719
202206010120,138,0.0017918564
202206010120,143,0.0020219227
202206010120,146,0.0013940773
202206010120,152,0.0015746022
202206010120,156,0.0016739263
202206010120,159,0.001946381
202206010120,165,0.0009271232
202206010130,13,0.0010166569
202206010130,105,0.002016956
202206010130,108,0.00148757
202206010130,112,0.0020536082
202206010130,115,0.0015218676
202206010130,131,0.001850771
202206010130,132,0.0025561377
202206010130,133,0.0014074337
202206010130,138,0.0026629516
202206010130,143,0.0018887358
202206010130,146,0.001570605
202206010130,152,0.0016296243
202206010130,156,0.0023048983
202206010130,159,0.0019512341
202206010130,165,0.0008875493
202206010140,13,0.001401426
202206010140,105,0.0020004995
202206010140,108,0.0014209797
202206010140,112,0.0022626193
202206010140,115,0.0026046971
202206010140,131,0.0014839219
202206010140,132,0.0019268
202206010140,133,0.0016261652
202206010140,138,0.0018912201
202206010140,143,0.0019306397
202206010140,146,0.0020219227
202206010140,152,0.0015541487
202206010140,156,0.001748795
202206010140,159,0.002037864
202206010140,165,0.0011347736
202206010150,13,0.0008857379
202206010150,105,0.0020004995
202206010150,108,0.0020789034
202206010150,112,0.0014704006
202206010150,115,0.0012642961
202206010150,131,0.0019306397
202206010150,132,0.0022542258
202206010150,133,0.0013345212
202206010150,138,0.002023479
202206010150,143,0.0026542605
202206010150,146,0.0024302965
202206010150,152,0.0026382185
202206010150,156,0.0017805672
202206010150,159,0.0024196983
202206010150,165,0.001367068
202206010200,13,0.0021578532
202206010200,105,0.0016929406
202206010200,108,0.002122873
202206010200,112,0.0014373772
202206010200,115,0.0009176354
202206010200,131,0.0019816188
202206010200,132,0.0018932476
202206010200,133,0.0013532172
202206010200,138,0.0019932874
202206010200,143,0.0015028897
202206010200,146,0.0018663341
