YearMonthDayHourMinute,STN,UV
202206010000,13,0.0012035082
202206010000,105,0.0028086621
202206010000,108,0.0021151504
202206010000,112,0.001969621
202206010000,115,0.002075612
202206010000,131,0.0020494158
202206010000,132,0.0020661051
202206010000,133,0.0020494158
202206010000,138,0.0026661835
202206010000,143,0.0026986299
202206010000,146,0.0028385438
202206010000,152,0.002114385
202206010000,156,0.0021813056
202206010000,159,0.0021172392
202206010000,165,0.00253174
202206010010,13,0.0014370627
202206010010,105,0.0027605104
202206010010,108,0.0018358398
202206010010,112,0.0021265936
202206010010,115,0.0027163357
202206010010,131,0.002149598
202206010010,132,0.002688436
202206010010,133,0.002672632
202206010010,138,0.0026611264
202206010010,143,0.0020137485
202206010010,146,0.0021860097
202206010010,152,0.0021223056
202206010010,156,0.0026894123
202206010010,159,0.002114354
202206010010,165,0.002515751
202206010020,13,0.0014238306
202206010020,105,0.0027605104
202206010020,108,0.0018358398
202206010020,112,0.0021265936
202206010020,115,0.0027163357
202206010020,131,0.002149598
202206010020,132,0.002688436
202206010020,133,0.002672632
202206010020,138,0.0026611264
202206010020,143,0.0020137485
202206010020,146,0.0021860097
202206010020,152,0.0021223056
202206010020,156,0.0026734236
202206010020,159,0.002114354
202206010020,165,0.0024891077
202206010030,13,0.001411746
202206010030,105,0.0029022682
202206010030,108,0.0037724273
202206010030,112,0.0018358398
202206010030,115,0.0020642728
202206010030,131,0.0021463262
202206010030,132,0.0022563895
202206010030,133,0.0020494158
202206010030,138,0.0038114036
202206010030,143,0.0017944211
202206010030,146,0.0021477242
202206010030,152,0.00227349
202206010030,156,0.0026016764
202206010030,159,0.002559631
202206010030,165,0.0023040692
202206010040,13,0.001258983
202206010040,105,0.0028162822
202206010040,108,0.001645543
202206010040,112,0.0021265936
202206010040,115,0.0019781392
202206010040,131,0.002068316
202206010040,132,0.0019241727
202206010040,133,0.002151035
202206010040,138,0.0022867313
202206010040,143,0.0022921995
202206010040,146,0.0026394154
202206010040,152,0.00227349
202206010040,156,0.0026090462
202206010040,159,0.0025990703
202206010040,165,0.0019132051
202206010050,13,0.0011781913
202206010050,105,0.0028970742
202206010050,108,0.0022476874
202206010050,112,0.0016488805
202206010050,115,0.0020100288
202206010050,131,0.0020820063
202206010050,132,0.0027002534
202206010050,133,0.0018835743
202206010050,138,0.002758252
202206010050,143,0.0021609317
202206010050,146,0.002776481
202206010050,152,0.002714706
202206010050,156,0.0026176656
202206010050,159,0.0021802401
202206010050,165,0.0019656904
202206010100,13,0.0011023739
202206010100,105,0.0027725627
202206010100,108,0.0017912373
202206010100,112,0.0027808805
202206010100,115,0.0019347492
202206010100,131,0.0026768548
202206010100,132,0.0026800015
202206010100,133,0.002024572
202206010100,138,0.0026837962
202206010100,143,0.0021609317
202206010100,146,0.002661721
202206010100,152,0.0021785125
202206010100,156,0.0019661582
202206010100,159,0.002693661
202206010100,165,0.0013706132
202206010110,13,0.0012683625
202206010110,105,0.0026917707
202206010110,108,0.0022859029
202206010110,112,0.0021747942
202206010110,115,0.0026814993
202206010110,131,0.0021935597
202206010110,132,0.0028747576
202206010110,133,0.0021206418
202206010110,138,0.0021623033
202206010110,143,0.0021631427
202206010110,146,0.0021392715
202206010110,152,0.0022439347
202206010110,156,0.0024764116
202206010110,159,0.0021804313
202206010110,165,0.0011956298
202206010120,13,0.0011872271
202206010120,105,0.0027725627
202206010120,108,0.0023102255
202206010120,112,0.002800931
202206010120,115,0.0026662473
202206010120,131,0.0014657738
202206010120,132,0.002753424
202206010120,133,0.0025308982
202206010120,138,0.0027276743
202206010120,143,0.0023047247
202206010120,146,0.0021466683
202206010120,152,0.0022417237
202206010120,156,0.0019169865
202206010120,159,0.0025592884
202206010120,165,0.0011956298
202206010130,13,0.0012046184
202206010130,105,0.0027725627
202206010130,108,0.0022886698
202206010130,112,0.0027901516
202206010130,115,0.0019897863
202206010130,131,0.0021302078
202206010130,132,0.0028345587
202206010130,133,0.0018903085
202206010130,138,0.002813779
202206010130,143,0.0021276486
202206010130,146,0.0022274603
202206010130,152,0.0021860097
202206010130,156,0.0033885397
202206010130,159,0.0027861404
202206010130,165,0.0012399305
202206010140,13,0.0014292902
202206010140,105,0.0027622902
202206010140,108,0.002252206
202206010140,112,0.002919704
202206010140,115,0.0026888691
202206010140,131,0.0021302078
202206010140,132,0.002902602
202206010140,133,0.0026966466
202206010140,138,0.0027086579
202206010140,143,0.0022417237
202206010140,146,0.0022904612
202206010140,152,0.0022417237
202206010140,156,0.003551328
202206010140,159,0.0020504678
202206010140,165,0.0013587209
202206010150,13,0.0011909776
202206010150,105,0.002781307
202206010150,108,0.0028505446
202206010150,112,0.0028639322
202206010150,115,0.001907886
202206010150,131,0.0022721407
202206010150,132,0.0027716416
202206010150,133,0.002640722
202206010150,138,0.002802132
202206010150,143,0.002841527
202206010150,146,0.002771392
202206010150,152,0.0028636276
202206010150,156,0.0025397844
202206010150,159,0.0025904197
202206010150,165,0.0013341126
202206010200,13,0.0026633234
202206010200,105,0.0020641282
202206010200,108,0.0028599526
202206010200,112,0.002758194
202206010200,115,0.0019404049
202206010200,131,0.0024867568
202206010200,132,0.002135036
202206010200,133,0.0018533096
202206010200,138,0.0028002774
202206010200,143,0.002220939
202206010200,146,0.002220939
202206010200,152,0.0036432045
202206010200,156,0.0025695954
202206010200,159,0.0026917707
202206010200,165,0.0020418363
202206010210,13,0.0025069646
202206010210,105,0.0027280236
202206010210,108,0.00282635
202206010210,112,0.0020738617
202206010210,115,0.0018311392
202206010210,131,0.002797424
202206010210,132,0.002840605
202206010210,133,0.002089268
202206010210,138,0.002220939
202206010210,143,0.002220939
202206010210,146,0.002797424
202206010210,152,0.002157938
202206010210,156,0.0019234698
202206010210,159,0.0027799325
202206010210,165,0.0019120575
202206010220,13,0.002116005
202206010220,105,0.0022008969
202206010220,108,0.0028564665
202206010220,112,0.0020738617
202206010220,115,0.0018939289
202206010220,131,0.002135036
202206010220,132,0.0022068238
202206010220,133,0.002084172
