"","back_hospital.yyyymmdd","back_hospital.area","back_hospital.sex","back_hospital.frequency"
"1",20120101,"강원",1,3
"2",20120101,"강원",2,3
"3",20120101,"경기",1,4
"4",20120101,"경기",2,5
"5",20120101,"경남",1,2
"6",20120101,"경남",2,1
"7",20120101,"경북",1,6
"8",20120101,"경북",2,1
"9",20120101,"광주",1,0
"10",20120101,"광주",2,2
"11",20120101,"대구",1,1
"12",20120101,"대구",2,0
"13",20120101,"대전",1,4
"14",20120101,"대전",2,1
"15",20120101,"부산",1,3
"16",20120101,"부산",2,6
"17",20120101,"서울",1,2
"18",20120101,"서울",2,6
"19",20120101,"세종",1,0
"20",20120101,"세종",2,0
"21",20120101,"울산",1,0
"22",20120101,"울산",2,0
"23",20120101,"인천",1,1
"24",20120101,"인천",2,1
"25",20120101,"전남",1,3
"26",20120101,"전남",2,6
"27",20120101,"전북",1,2
"28",20120101,"전북",2,2
"29",20120101,"제주",1,0
"30",20120101,"제주",2,0
"31",20120101,"충남",1,0
"32",20120101,"충남",2,1
"33",20120101,"충북",1,4
"34",20120101,"충북",2,3
"35",20120102,"강원",1,2
"36",20120102,"강원",2,0
"37",20120102,"경기",1,2
"38",20120102,"경기",2,6
"39",20120102,"경남",1,3
"40",20120102,"경남",2,1
"41",20120102,"경북",1,4
"42",20120102,"경북",2,4
"43",20120102,"광주",1,0
"44",20120102,"광주",2,1
"45",20120102,"대구",1,3
"46",20120102,"대구",2,1
"47",20120102,"대전",1,1
"48",20120102,"대전",2,2
"49",20120102,"부산",1,4
"50",20120102,"부산",2,3
"51",20120102,"서울",1,3
"52",20120102,"서울",2,7
"53",20120102,"세종",1,0
"54",20120102,"세종",2,0
"55",20120102,"울산",1,1
"56",20120102,"울산",2,0
"57",20120102,"인천",1,0
"58",20120102,"인천",2,4
"59",20120102,"전남",1,2
"60",20120102,"전남",2,3
"61",20120102,"전북",1,2
"62",20120102,"전북",2,4
"63",20120102,"제주",1,0
"64",20120102,"제주",2,0
"65",20120102,"충남",1,1
"66",20120102,"충남",2,0
"67",20120102,"충북",1,1
"68",20120102,"충북",2,0
"69",20120103,"강원",1,0
"70",20120103,"강원",2,0
"71",20120103,"경기",1,7
"72",20120103,"경기",2,4
"73",20120103,"경남",1,4
"74",20120103,"경남",2,3
"75",20120103,"경북",1,2
"76",20120103,"경북",2,1
"77",20120103,"광주",1,1
"78",20120103,"광주",2,2
"79",20120103,"대구",1,1
"80",20120103,"대구",2,1
"81",20120103,"대전",1,1
"82",20120103,"대전",2,1
"83",20120103,"부산",1,1
"84",20120103,"부산",2,3
"85",20120103,"서울",1,2
"86",20120103,"서울",2,4
"87",20120103,"세종",1,2
"88",20120103,"세종",2,0
"89",20120103,"울산",1,0
"90",20120103,"울산",2,1
"91",20120103,"인천",1,1
"92",20120103,"인천",2,0
"93",20120103,"전남",1,2
"94",20120103,"전남",2,0
"95",20120103,"전북",1,0
"96",20120103,"전북",2,1
"97",20120103,"제주",1,0
"98",20120103,"제주",2,0
"99",20120103,"충남",1,1
"100",20120103,"충남",2,2
"101",20120103,"충북",1,1
"102",20120103,"충북",2,1
"103",20120104,"강원",1,1
"104",20120104,"강원",2,2
"105",20120104,"경기",1,4
"106",20120104,"경기",2,5
"107",20120104,"경남",1,2
"108",20120104,"경남",2,1
"109",20120104,"경북",1,3
"110",20120104,"경북",2,3
"111",20120104,"광주",1,1
"112",20120104,"광주",2,1
"113",20120104,"대구",1,3
"114",20120104,"대구",2,0
"115",20120104,"대전",1,1
"116",20120104,"대전",2,0
"117",20120104,"부산",1,3
"118",20120104,"부산",2,1
"119",20120104,"서울",1,3
"120",20120104,"서울",2,8
"121",20120104,"세종",1,0
"122",20120104,"세종",2,0
"123",20120104,"울산",1,0
"124",20120104,"울산",2,0
"125",20120104,"인천",1,1
"126",20120104,"인천",2,1
"127",20120104,"전남",1,1
"128",20120104,"전남",2,3
"129",20120104,"전북",1,0
"130",20120104,"전북",2,3
"131",20120104,"제주",1,0
"132",20120104,"제주",2,0
"133",20120104,"충남",1,0
"134",20120104,"충남",2,0
"135",20120104,"충북",1,0
"136",20120104,"충북",2,1
"137",20120105,"강원",1,2
"138",20120105,"강원",2,1
"139",20120105,"경기",1,12
"140",20120105,"경기",2,2
"141",20120105,"경남",1,3
"142",20120105,"경남",2,0
"143",20120105,"경북",1,1
"144",20120105,"경북",2,2
"145",20120105,"광주",1,0
"146",20120105,"광주",2,1
"147",20120105,"대구",1,2
"148",20120105,"대구",2,1
"149",20120105,"대전",1,0
"150",20120105,"대전",2,0
"151",20120105,"부산",1,5
"152",20120105,"부산",2,2
"153",20120105,"서울",1,9
"154",20120105,"서울",2,4
"155",20120105,"세종",1,0
"156",20120105,"세종",2,0
"157",20120105,"울산",1,1
"158",20120105,"울산",2,1
"159",20120105,"인천",1,1
"160",20120105,"인천",2,1
"161",20120105,"전남",1,6
"162",20120105,"전남",2,2
"163",20120105,"전북",1,0
"164",20120105,"전북",2,0
"165",20120105,"제주",1,0
"166",20120105,"제주",2,0
"167",20120105,"충남",1,1
"168",20120105,"충남",2,0
"169",20120105,"충북",1,1
"170",20120105,"충북",2,2
"171",20120106,"강원",1,2
"172",20120106,"강원",2,3
"173",20120106,"경기",1,4
"174",20120106,"경기",2,3
"175",20120106,"경남",1,1
"176",20120106,"경남",2,2
"177",20120106,"경북",1,2
"178",20120106,"경북",2,3
"179",20120106,"광주",1,0
"180",20120106,"광주",2,0
"181",20120106,"대구",1,2
"182",20120106,"대구",2,2
"183",20120106,"대전",1,1
"184",20120106,"대전",2,0
"185",20120106,"부산",1,3
"186",20120106,"부산",2,2
"187",20120106,"서울",1,4
"188",20120106,"서울",2,0
"189",20120106,"세종",1,0
"190",20120106,"세종",2,0
"191",20120106,"울산",1,0
"192",20120106,"울산",2,1
"193",20120106,"인천",1,2
"194",20120106,"인천",2,2
"195",20120106,"전남",1,1
"196",20120106,"전남",2,2
"197",20120106,"전북",1,0
"198",20120106,"전북",2,5
